sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,RB,era_ensemble,ridge,10,val_weighted,1177,80,1.190142331000061
football,RB,era_ensemble,lasso,10,val_weighted,1177,80,0.16005379999978686
football,RB,era_ensemble,elasticnet,10,val_weighted,1177,80,0.17175828800009185
football,RB,era_ensemble,random_forest,10,val_weighted,1177,80,3.51360201100033
football,RB,era_ensemble,lightgbm,10,val_weighted,1177,80,5.130736677000186
football,RB,era_ensemble,xgboost,10,val_weighted,1177,80,13.288220091000312
football,RB,era_ensemble,ridge,10,mean,1177,80,0.09014618699984567
football,RB,era_ensemble,lasso,10,mean,1177,80,0.10431971299976794
football,RB,era_ensemble,elasticnet,10,mean,1177,80,0.09925122300001021
football,RB,era_ensemble,random_forest,10,mean,1177,80,2.239172931000212
football,RB,era_ensemble,lightgbm,10,mean,1177,80,4.66300749300035
football,RB,era_ensemble,xgboost,10,mean,1177,80,4.893202886000381
football,RB,era_ensemble,ridge,10,recency_weighted,1177,80,0.0730181540002377
football,RB,era_ensemble,lasso,10,recency_weighted,1177,80,0.08897585700015043
football,RB,era_ensemble,elasticnet,10,recency_weighted,1177,80,0.09027032899984988
football,RB,era_ensemble,random_forest,10,recency_weighted,1177,80,1.916074471000229
football,RB,era_ensemble,lightgbm,10,recency_weighted,1177,80,1.3405865899999299
football,RB,era_ensemble,xgboost,10,recency_weighted,1177,80,3.922769352999694
football,RB,era_ensemble,ridge,20,val_weighted,2380,80,0.21241714200004935
football,RB,era_ensemble,lasso,20,val_weighted,2380,80,0.23268531000030634
football,RB,era_ensemble,elasticnet,20,val_weighted,2380,80,0.21585206999998263
football,RB,era_ensemble,random_forest,20,val_weighted,2380,80,7.117383881000023
football,RB,era_ensemble,lightgbm,20,val_weighted,2380,80,4.188527088999763
football,RB,era_ensemble,xgboost,20,val_weighted,2380,80,8.23108853199983
football,RB,era_ensemble,ridge,20,mean,2380,80,0.09449923900001522
football,RB,era_ensemble,lasso,20,mean,2380,80,0.09840490800024781
football,RB,era_ensemble,elasticnet,20,mean,2380,80,0.10729423099974156
football,RB,era_ensemble,random_forest,20,mean,2380,80,3.4395730349997393
football,RB,era_ensemble,lightgbm,20,mean,2380,80,2.541474852000192
football,RB,era_ensemble,xgboost,20,mean,2380,80,5.074244234999696
football,RB,era_ensemble,ridge,20,recency_weighted,2380,80,0.08923956999979055
football,RB,era_ensemble,lasso,20,recency_weighted,2380,80,0.11608558999978413
football,RB,era_ensemble,elasticnet,20,recency_weighted,2380,80,0.11318913000013708
football,RB,era_ensemble,random_forest,20,recency_weighted,2380,80,3.468717681000271
football,RB,era_ensemble,lightgbm,20,recency_weighted,2380,80,2.168702152000151
football,RB,era_ensemble,xgboost,20,recency_weighted,2380,80,9.397414558000037
football,RB,era_ensemble,ridge,30,val_weighted,2380,80,0.23142439499997636
football,RB,era_ensemble,lasso,30,val_weighted,2380,80,0.26764266200007114
football,RB,era_ensemble,elasticnet,30,val_weighted,2380,80,0.2743955759997334
football,RB,era_ensemble,random_forest,30,val_weighted,2380,80,7.520025675000397
football,RB,era_ensemble,lightgbm,30,val_weighted,2380,80,12.128568221000023
football,RB,era_ensemble,xgboost,30,val_weighted,2380,80,16.597140925000076
football,RB,era_ensemble,ridge,30,mean,2380,80,0.09299795700007962
football,RB,era_ensemble,lasso,30,mean,2380,80,0.10576399299998229
football,RB,era_ensemble,elasticnet,30,mean,2380,80,0.11443861299994751
football,RB,era_ensemble,random_forest,30,mean,2380,80,3.667535202000181
football,RB,era_ensemble,lightgbm,30,mean,2380,80,5.770313721000093
football,RB,era_ensemble,xgboost,30,mean,2380,80,8.12523910400023
football,RB,era_ensemble,ridge,30,recency_weighted,2380,80,0.1118192750000162
football,RB,era_ensemble,lasso,30,recency_weighted,2380,80,0.11067107899998518
football,RB,era_ensemble,elasticnet,30,recency_weighted,2380,80,0.11391947199990682
football,RB,era_ensemble,random_forest,30,recency_weighted,2380,80,3.8429329760001565
football,RB,era_ensemble,lightgbm,30,recency_weighted,2380,80,6.863156473999879
football,RB,era_ensemble,xgboost,30,recency_weighted,2380,80,10.515425175000018
