sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,WR,era_ensemble,ridge,10,val_weighted,1427,81,1.0055934869997145
football,WR,era_ensemble,lasso,10,val_weighted,1427,81,0.1401979369993569
football,WR,era_ensemble,elasticnet,10,val_weighted,1427,81,0.1321033370004443
football,WR,era_ensemble,random_forest,10,val_weighted,1427,81,2.960515199999463
football,WR,era_ensemble,lightgbm,10,val_weighted,1427,81,1.0020673649996752
football,WR,era_ensemble,xgboost,10,val_weighted,1427,81,2.3500729179995687
football,WR,era_ensemble,ridge,10,mean,1427,81,0.05271676499978639
football,WR,era_ensemble,lasso,10,mean,1427,81,0.070971137000015
football,WR,era_ensemble,elasticnet,10,mean,1427,81,0.061148054000113916
football,WR,era_ensemble,random_forest,10,mean,1427,81,1.4635798959998283
football,WR,era_ensemble,lightgbm,10,mean,1427,81,0.5176485470001353
football,WR,era_ensemble,xgboost,10,mean,1427,81,1.3755877260000489
football,WR,era_ensemble,ridge,10,recency_weighted,1427,81,0.05159406300026603
football,WR,era_ensemble,lasso,10,recency_weighted,1427,81,0.07056883899986133
football,WR,era_ensemble,elasticnet,10,recency_weighted,1427,81,0.058623650999834354
football,WR,era_ensemble,random_forest,10,recency_weighted,1427,81,1.5274314540001797
football,WR,era_ensemble,lightgbm,10,recency_weighted,1427,81,0.49414755100042385
football,WR,era_ensemble,xgboost,10,recency_weighted,1427,81,1.3841464100005396
football,WR,era_ensemble,ridge,20,val_weighted,2718,81,0.15132504800021707
football,WR,era_ensemble,lasso,20,val_weighted,2718,81,0.19468140399931144
football,WR,era_ensemble,elasticnet,20,val_weighted,2718,81,0.17130642800020723
football,WR,era_ensemble,random_forest,20,val_weighted,2718,81,5.283795903000282
football,WR,era_ensemble,lightgbm,20,val_weighted,2718,81,1.5690703440004654
football,WR,era_ensemble,xgboost,20,val_weighted,2718,81,2.5709778029995505
football,WR,era_ensemble,ridge,20,mean,2718,81,0.062324181000803947
football,WR,era_ensemble,lasso,20,mean,2718,81,0.09323623499949463
football,WR,era_ensemble,elasticnet,20,mean,2718,81,0.07839327100009541
football,WR,era_ensemble,random_forest,20,mean,2718,81,2.6025820260001638
football,WR,era_ensemble,lightgbm,20,mean,2718,81,0.8804542960006074
football,WR,era_ensemble,xgboost,20,mean,2718,81,1.3830817720008781
football,WR,era_ensemble,ridge,20,recency_weighted,2718,81,0.06555807400036429
football,WR,era_ensemble,lasso,20,recency_weighted,2718,81,0.09478995399967971
football,WR,era_ensemble,elasticnet,20,recency_weighted,2718,81,0.0795375489997241
football,WR,era_ensemble,random_forest,20,recency_weighted,2718,81,2.6246660320002775
football,WR,era_ensemble,lightgbm,20,recency_weighted,2718,81,0.9379639010003302
football,WR,era_ensemble,xgboost,20,recency_weighted,2718,81,1.4176072789996397
football,WR,era_ensemble,ridge,30,val_weighted,2718,81,0.13341317100002925
football,WR,era_ensemble,lasso,30,val_weighted,2718,81,0.18205381200004922
football,WR,era_ensemble,elasticnet,30,val_weighted,2718,81,0.16682896400016034
football,WR,era_ensemble,random_forest,30,val_weighted,2718,81,5.23091297100018
football,WR,era_ensemble,lightgbm,30,val_weighted,2718,81,1.773261191000529
football,WR,era_ensemble,xgboost,30,val_weighted,2718,81,2.5463421340000423
football,WR,era_ensemble,ridge,30,mean,2718,81,0.0690625329998511
football,WR,era_ensemble,lasso,30,mean,2718,81,0.09593158700045024
football,WR,era_ensemble,elasticnet,30,mean,2718,81,0.07805959699999221
football,WR,era_ensemble,random_forest,30,mean,2718,81,2.679442755999844
football,WR,era_ensemble,lightgbm,30,mean,2718,81,0.9217021160002332
football,WR,era_ensemble,xgboost,30,mean,2718,81,1.4601196319999872
football,WR,era_ensemble,ridge,30,recency_weighted,2718,81,0.06567395599995507
football,WR,era_ensemble,lasso,30,recency_weighted,2718,81,0.0930706380004267
football,WR,era_ensemble,elasticnet,30,recency_weighted,2718,81,0.0806379140003628
football,WR,era_ensemble,random_forest,30,recency_weighted,2718,81,2.682149728000695
football,WR,era_ensemble,lightgbm,30,recency_weighted,2718,81,0.8108266780000122
football,WR,era_ensemble,xgboost,30,recency_weighted,2718,81,1.4705759360003867
