model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,4,10,0.7247144587105676,0.023520032737803943,0.6166666666666667,2.623138071971881
elasticnet,mean,4,20,0.7259031243639209,0.021076112069932037,0.6333333333333334,2.628443236594055
elasticnet,mean,4,30,0.7259031243639209,0.021076112069932037,0.6333333333333334,2.628443236594055
elasticnet,mean,6,10,0.7295723581128325,0.028086332260634,0.6166666666666667,2.622400602040611
elasticnet,mean,6,20,0.7306775352510673,0.026660023753810942,0.6333333333333334,2.621158987268414
elasticnet,mean,6,30,0.7306775352510673,0.026660023753810942,0.6333333333333334,2.621158987268414
elasticnet,mean,7,10,0.7274956782425904,0.034053941687224934,0.5833333333333334,2.676484658175261
elasticnet,mean,7,20,0.7295338392073465,0.032868423896936276,0.6,2.69428213229306
elasticnet,mean,7,30,0.7295338392073465,0.032868423896936276,0.6,2.69428213229306
elasticnet,mean,8,10,0.7406478211815319,0.0356327484708194,0.6166666666666667,2.609955641780304
elasticnet,mean,8,20,0.742433572426674,0.03455451654864333,0.6333333333333334,2.6002532306701758
elasticnet,mean,8,30,0.742433572426674,0.03455451654864333,0.6333333333333334,2.6002532306701758
elasticnet,mean,10,10,0.747523253336181,0.040815521448708585,0.65,2.625285521083904
elasticnet,mean,10,20,0.7484579097430426,0.03786458154537826,0.6666666666666667,2.604347364802897
elasticnet,mean,10,30,0.7484579097430426,0.03786458154537826,0.6666666666666667,2.604347364802897
elasticnet,mean,12,10,0.752440458061611,0.05795184816986113,0.65,2.6897647234393096
elasticnet,mean,12,20,0.7540483965495807,0.05275863858096402,0.6666666666666667,2.660730740252359
elasticnet,mean,12,30,0.7540483965495807,0.05275863858096402,0.6666666666666667,2.660730740252359
elasticnet,recency_weighted,4,10,0.7193702352986522,0.02590082133030658,0.6166666666666667,2.6688657860824843
elasticnet,recency_weighted,4,20,0.7196515112219687,0.024223860417292898,0.6166666666666667,2.6724174640803
elasticnet,recency_weighted,4,30,0.7196515112219687,0.024223860417292898,0.6166666666666667,2.6724174640803
elasticnet,recency_weighted,6,10,0.7262664045668784,0.030519350636482676,0.6166666666666667,2.6601810911243957
elasticnet,recency_weighted,6,20,0.7266053522770257,0.0295026345346709,0.6166666666666667,2.6599737531186367
elasticnet,recency_weighted,6,30,0.7266053522770257,0.0295026345346709,0.6166666666666667,2.6599737531186367
elasticnet,recency_weighted,7,10,0.72146759769145,0.03599974871404992,0.5833333333333334,2.7268604705119395
elasticnet,recency_weighted,7,20,0.7221668289551888,0.03683242151087666,0.5833333333333334,2.7361284404201927
elasticnet,recency_weighted,7,30,0.7221668289551888,0.03683242151087666,0.5833333333333334,2.7361284404201927
elasticnet,recency_weighted,8,10,0.7356793540980031,0.03543712200053017,0.6166666666666667,2.6485980252583765
elasticnet,recency_weighted,8,20,0.7361332605861223,0.035499106651061235,0.6166666666666667,2.6439167877666936
elasticnet,recency_weighted,8,30,0.7361332605861223,0.035499106651061235,0.6166666666666667,2.6439167877666936
elasticnet,recency_weighted,10,10,0.7423727785706115,0.036462002807470896,0.6666666666666667,2.662152201791734
elasticnet,recency_weighted,10,20,0.7424872381730898,0.036016007752850736,0.6666666666666667,2.6519987498456823
elasticnet,recency_weighted,10,30,0.7424872381730898,0.036016007752850736,0.6666666666666667,2.6519987498456823
elasticnet,recency_weighted,12,10,0.7491067369034873,0.05213260682917071,0.65,2.7207554965625507
elasticnet,recency_weighted,12,20,0.7480734159293048,0.05131054298596498,0.65,2.706922775024446
elasticnet,recency_weighted,12,30,0.7480734159293048,0.05131054298596498,0.65,2.706922775024446
elasticnet,val_weighted,4,10,0.7248170120835274,0.023296210445701213,0.6166666666666667,2.6232820424476175
elasticnet,val_weighted,4,20,0.7259516435488023,0.021196592644977103,0.6333333333333334,2.6283952737641947
elasticnet,val_weighted,4,30,0.7259516435488023,0.021196592644977103,0.6333333333333334,2.6283952737641947
