risk_rank,player_name,proj_pos_rank,proj_ppg,pred_games_next,exp_games_missed,risk_tier,draft_backup
1,Kirk Cousins,29,12.07,4.7,12.3,High,True
2,Marcus Mariota,26,12.35,5.3,11.7,High,True
3,Justin Fields,32,11.77,7.1,9.9,High,True
4,Mac Jones,30,12.01,7.2,9.8,High,True
5,Geno Smith,31,11.88,7.8,9.2,High,True
6,Jayden Daniels,18,15.4,8.2,8.8,High,True
7,Aaron Rodgers,25,12.47,8.6,8.4,High,True
8,Tyler Shough,27,12.35,8.7,8.3,High,True
9,Jacoby Brissett,28,12.15,9.1,7.9,Moderate,False
10,Jaxson Dart,13,16.24,10.6,6.4,Moderate,False
11,Joe Burrow,23,13.75,10.9,6.1,Moderate,False
12,C.J. Stroud,20,14.79,11.2,5.8,Moderate,False
13,Tua Tagovailoa,24,12.95,11.6,5.4,Moderate,False
14,Josh Allen,1,20.41,12.1,4.9,Moderate,False
15,Daniel Jones,16,15.88,12.1,4.9,Moderate,False
16,Brock Purdy,21,14.08,12.1,4.9,Moderate,False
17,Bryce Young,19,15.21,12.3,4.7,Moderate,False
18,Matthew Stafford,6,17.94,13.0,4.0,Moderate,False
19,Sam Darnold,17,15.42,13.0,4.0,Moderate,False
20,Patrick Mahomes,12,16.67,13.0,4.0,Moderate,False
21,Lamar Jackson,2,19.93,13.1,3.9,Moderate,False
22,Jalen Hurts,3,19.06,13.1,3.9,Moderate,False
23,Dak Prescott,14,16.15,13.1,3.9,Moderate,False
24,Justin Herbert,9,17.28,13.4,3.6,Moderate,False
25,Drake Maye,5,18.69,13.6,3.4,Lower,False
26,Cam Ward,22,13.94,13.7,3.3,Lower,False
27,Baker Mayfield,10,17.12,13.8,3.2,Lower,False
28,Trevor Lawrence,4,18.92,14.0,3.0,Lower,False
29,Jordan Love,15,16.09,14.1,2.9,Lower,False
30,Jared Goff,11,17.01,14.5,2.5,Lower,False
31,Bo Nix,7,17.83,14.6,2.4,Lower,False
32,Caleb Williams,8,17.36,15.1,1.9,Lower,False
