rank,team,starter,starter_pos_rank,starter_proj_ppg,starter_exp_games_missed,starter_miss_share,handcuff,handcuff_pos_rank,handcuff_proj_ppg,contingent_upside,handcuff_value
1,SF,Christian McCaffrey,4,17.51,5.4,0.317,Brian Robinson,53,7.29,3.24,10.53
2,ATL,Bijan Robinson,1,21.52,3.4,0.202,Tyler Allgeier,54,7.2,2.89,10.09
3,MIA,De'Von Achane,3,19.94,3.3,0.196,Jaylen Wright,64,6.8,2.58,9.38
4,LV,Ashton Jeanty,10,14.26,4.0,0.237,Zamir White,119,4.0,2.43,6.43
5,IND,Jonathan Taylor,5,17.34,3.6,0.209,DJ Giddens,80,6.02,2.37,8.39
6,BUF,James Cook,6,17.15,3.5,0.205,Ty Johnson,74,6.38,2.21,8.59
7,DET,Jahmyr Gibbs,2,20.49,3.0,0.176,David Montgomery,33,10.28,1.8,12.08
8,NYJ,Breece Hall,7,15.15,3.4,0.201,Braelon Allen,62,6.92,1.65,8.57
9,CIN,Chase Brown,9,14.32,3.2,0.185,Samaje Perine,86,5.52,1.63,7.15
10,BAL,Derrick Henry,11,14.03,3.8,0.226,Justice Hill,60,6.95,1.6,8.55
11,PHI,Saquon Barkley,14,13.56,4.1,0.241,Tank Bigsby,61,6.95,1.59,8.54
12,GB,Josh Jacobs,17,13.03,3.6,0.21,Emanuel Wilson,75,6.33,1.41,7.74
13,JAX,Travis Etienne,15,13.54,3.6,0.209,Bhayshul Tuten,63,6.82,1.4,8.22
14,DAL,Javonte Williams,13,13.7,3.2,0.19,Miles Sanders,56,7.11,1.25,8.36
15,NO,Alvin Kamara,34,10.12,9.8,0.577,Audric Estimé,46,8.05,1.19,9.24
16,LA,Kyren Williams,8,14.72,2.9,0.171,Blake Corum,47,8.04,1.14,9.18
17,LAC,Omarion Hampton,19,12.79,3.9,0.232,Najee Harris,41,8.68,0.95,9.63
18,CHI,D'Andre Swift,12,13.87,3.6,0.212,Kyle Monangai,37,9.38,0.95,10.33
19,CLE,Quinshon Judkins,24,11.49,4.2,0.245,Dylan Sampson,45,8.09,0.83,8.92
20,TB,Bucky Irving,20,12.74,5.7,0.333,Rachaad White,31,10.63,0.7,11.33
21,TEN,Tony Pollard,22,11.61,4.7,0.277,Tyjae Spears,36,9.69,0.53,10.22
22,SEA,Kenneth Walker III,16,13.03,4.2,0.25,Zach Charbonnet,28,10.96,0.52,11.48
23,CAR,Rico Dowdle,26,11.36,3.4,0.202,Chuba Hubbard,35,9.98,0.28,10.26
24,NE,TreVeyon Henderson,18,12.84,2.8,0.163,Rhamondre Stevenson,27,11.19,0.27,11.46
25,NYG,Cam Skattebo,23,11.57,4.3,0.255,Tyrone Tracy Jr.,32,10.58,0.25,10.83
26,PIT,Jaylen Warren,21,11.96,3.8,0.226,Kenneth Gainwell,29,10.95,0.23,11.18
27,DEN,J.K. Dobbins,25,11.47,6.8,0.398,RJ Harvey,30,10.92,0.22,11.14
