rank,team,starter,starter_pos_rank,starter_proj_ppg,starter_exp_games_missed,starter_miss_share,handcuff,handcuff_pos_rank,handcuff_proj_ppg,contingent_upside,handcuff_value
1,SF,Christian McCaffrey,2,16.98,5.2,0.305,Isaac Guerendo,112,2.9,4.29,7.19
2,ATL,Bijan Robinson,1,18.0,3.5,0.203,Brian Robinson,52,5.76,2.48,8.24
3,IND,Jonathan Taylor,4,15.79,3.4,0.198,DJ Giddens,76,4.66,2.2,6.86
4,LV,Ashton Jeanty,7,13.79,3.7,0.22,Raheem Mostert,82,4.22,2.11,6.33
5,GB,Josh Jacobs,12,12.46,3.5,0.206,Chris Brooks,126,2.27,2.1,4.37
6,DET,Jahmyr Gibbs,3,16.31,3.0,0.174,Isiah Pacheco,64,5.26,1.92,7.18
7,BAL,Derrick Henry,11,13.01,3.6,0.21,Justice Hill,81,4.38,1.81,6.19
8,MIA,De'Von Achane,5,14.71,3.5,0.205,Jaylen Wright,50,5.95,1.8,7.75
9,BUF,James Cook,6,13.81,3.5,0.208,Ray Davis,60,5.34,1.76,7.1
10,PHI,Saquon Barkley,10,13.06,3.6,0.211,Tank Bigsby,57,5.49,1.6,7.09
11,CIN,Chase Brown,8,13.54,3.0,0.177,Samaje Perine,69,5.02,1.51,6.53
12,NYJ,Breece Hall,15,11.62,3.3,0.197,Braelon Allen,74,4.71,1.36,6.07
13,DAL,Javonte Williams,13,12.03,3.5,0.207,Miles Sanders,55,5.61,1.33,6.94
14,LA,Kyren Williams,9,13.24,3.4,0.201,Blake Corum,42,7.14,1.23,8.37
15,TEN,Tony Pollard,22,9.95,4.3,0.254,Tyjae Spears,63,5.32,1.18,6.5
16,CLE,Quinshon Judkins,24,9.84,4.2,0.245,Dylan Sampson,56,5.58,1.04,6.62
17,SEA,Zach Charbonnet,27,9.19,4.2,0.247,Emanuel Wilson,67,5.04,1.03,6.07
18,LAC,Omarion Hampton,19,10.27,3.6,0.209,Najee Harris,45,6.58,0.77,7.35
19,NO,Travis Etienne,16,11.2,3.5,0.206,Alvin Kamara,38,7.48,0.77,8.25
20,CHI,D'Andre Swift,14,11.69,3.4,0.201,Kyle Monangai,33,8.22,0.7,8.92
21,HOU,David Montgomery,31,8.64,4.9,0.286,Woody Marks,43,6.71,0.55,7.26
22,KC,Kenneth Walker III,21,9.98,3.8,0.223,Kareem Hunt,37,7.52,0.55,8.07
23,TB,Bucky Irving,18,10.54,5.9,0.348,Kenneth Gainwell,28,9.15,0.48,9.63
24,NE,TreVeyon Henderson,17,10.85,2.9,0.171,Rhamondre Stevenson,25,9.33,0.26,9.59
25,DEN,J.K. Dobbins,26,9.21,6.0,0.352,RJ Harvey,29,8.9,0.11,9.01
26,NYG,Cam Skattebo,30,8.73,4.6,0.268,Tyrone Tracy Jr.,32,8.35,0.1,8.45
27,WAS,Jacory Croskey-Merritt,34,7.66,4.3,0.256,Rachaad White,40,7.42,0.06,7.48
28,PIT,Jaylen Warren,20,10.07,3.7,0.22,Rico Dowdle,23,9.91,0.04,9.95
29,MIN,Aaron Jones,35,7.56,9.1,0.537,Jordan Mason,36,7.55,0.01,7.56
