sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,DST,era_ensemble,ridge,10,val_weighted,320,26,0.9056972910184413
football,DST,era_ensemble,lasso,10,val_weighted,320,26,0.01061704201856628
football,DST,era_ensemble,elasticnet,10,val_weighted,320,26,0.009028208965901285
football,DST,era_ensemble,random_forest,10,val_weighted,320,26,0.35231683298479766
football,DST,era_ensemble,lightgbm,10,val_weighted,320,26,0.4638914169627242
football,DST,era_ensemble,xgboost,10,val_weighted,320,26,0.36330654204357415
football,DST,era_ensemble,ridge,10,mean,320,26,0.003214666969142854
football,DST,era_ensemble,lasso,10,mean,320,26,0.003065333003178239
football,DST,era_ensemble,elasticnet,10,mean,320,26,0.0031137500191107392
football,DST,era_ensemble,random_forest,10,mean,320,26,0.12422329100081697
football,DST,era_ensemble,lightgbm,10,mean,320,26,0.2644506249926053
football,DST,era_ensemble,xgboost,10,mean,320,26,0.16909462498733774
football,DST,era_ensemble,ridge,10,recency_weighted,320,26,0.003022958990186453
football,DST,era_ensemble,lasso,10,recency_weighted,320,26,0.0030217079911381006
football,DST,era_ensemble,elasticnet,10,recency_weighted,320,26,0.0032941660028882325
football,DST,era_ensemble,random_forest,10,recency_weighted,320,26,0.12562804197659716
football,DST,era_ensemble,lightgbm,10,recency_weighted,320,26,0.22483558300882578
football,DST,era_ensemble,xgboost,10,recency_weighted,320,26,0.17144725000252947
football,DST,era_ensemble,ridge,20,val_weighted,636,26,0.009488374984357506
football,DST,era_ensemble,lasso,20,val_weighted,636,26,0.013455791980959475
football,DST,era_ensemble,elasticnet,20,val_weighted,636,26,0.012676417012698948
football,DST,era_ensemble,random_forest,20,val_weighted,636,26,0.3837162079871632
football,DST,era_ensemble,lightgbm,20,val_weighted,636,26,0.8253592919791117
football,DST,era_ensemble,xgboost,20,val_weighted,636,26,0.35795804200461134
football,DST,era_ensemble,ridge,20,mean,636,26,0.0035862079821527004
football,DST,era_ensemble,lasso,20,mean,636,26,0.004466916958335787
football,DST,era_ensemble,elasticnet,20,mean,636,26,0.004920542007312179
football,DST,era_ensemble,random_forest,20,mean,636,26,0.18857958301668987
football,DST,era_ensemble,lightgbm,20,mean,636,26,0.4366260000388138
football,DST,era_ensemble,xgboost,20,mean,636,26,0.1740300829987973
football,DST,era_ensemble,ridge,20,recency_weighted,636,26,0.0035122080007568
football,DST,era_ensemble,lasso,20,recency_weighted,636,26,0.005682999966666102
football,DST,era_ensemble,elasticnet,20,recency_weighted,636,26,0.004732000001240522
football,DST,era_ensemble,random_forest,20,recency_weighted,636,26,0.1882599589880556
football,DST,era_ensemble,lightgbm,20,recency_weighted,636,26,0.4537420410197228
football,DST,era_ensemble,xgboost,20,recency_weighted,636,26,0.18256820901297033
football,DST,era_ensemble,ridge,30,val_weighted,667,26,0.010260750015731901
football,DST,era_ensemble,lasso,30,val_weighted,667,26,0.01664358301786706
football,DST,era_ensemble,elasticnet,30,val_weighted,667,26,0.012768082960974425
football,DST,era_ensemble,random_forest,30,val_weighted,667,26,0.4310658749891445
football,DST,era_ensemble,lightgbm,30,val_weighted,667,26,0.9254443749669008
football,DST,era_ensemble,xgboost,30,val_weighted,667,26,0.3555861249915324
football,DST,era_ensemble,ridge,30,mean,667,26,0.0037640000227838755
football,DST,era_ensemble,lasso,30,mean,667,26,0.0055122500052675605
football,DST,era_ensemble,elasticnet,30,mean,667,26,0.004718167008832097
football,DST,era_ensemble,random_forest,30,mean,667,26,0.18687770800897852
football,DST,era_ensemble,lightgbm,30,mean,667,26,0.4578696669777855
football,DST,era_ensemble,xgboost,30,mean,667,26,0.17542770801810548
football,DST,era_ensemble,ridge,30,recency_weighted,667,26,0.0035113749909214675
football,DST,era_ensemble,lasso,30,recency_weighted,667,26,0.004949209047481418
football,DST,era_ensemble,elasticnet,30,recency_weighted,667,26,0.0048212920082733035
football,DST,era_ensemble,random_forest,30,recency_weighted,667,26,0.1902255829772912
football,DST,era_ensemble,lightgbm,30,recency_weighted,667,26,0.5254726660205051
football,DST,era_ensemble,xgboost,30,recency_weighted,667,26,0.17609229194931686
