model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,1,10,0.27665439658812135,0.20436947856874665,0.5166666666666667,1.873136719179334
elasticnet,mean,1,20,0.3160704660613295,0.19009665708692944,0.5,1.7368259397295993
elasticnet,mean,1,30,0.30210134397097266,0.18963275446247108,0.5,1.730692836401608
elasticnet,recency_weighted,1,10,0.27665439658812135,0.20436947856874665,0.5166666666666667,1.873136719179334
elasticnet,recency_weighted,1,20,0.3160704660613295,0.19009665708692944,0.5,1.7368259397295993
elasticnet,recency_weighted,1,30,0.30210134397097266,0.18963275446247108,0.5,1.730692836401608
elasticnet,val_weighted,1,10,0.27665439658812135,0.20436947856874665,0.5166666666666667,1.873136719179334
elasticnet,val_weighted,1,20,0.3160704660613295,0.19009665708692944,0.5,1.7368259397295993
elasticnet,val_weighted,1,30,0.30210134397097266,0.18963275446247108,0.5,1.730692836401608
lasso,mean,1,10,0.2902948375467144,0.1658158269263587,0.5333333333333334,1.842670170343998
lasso,mean,1,20,0.32813332566743647,0.1961247975071316,0.5166666666666667,1.7211737116376706
lasso,mean,1,30,0.31467709768608293,0.1884287904813253,0.5,1.715612943716327
lasso,recency_weighted,1,10,0.2902948375467144,0.1658158269263587,0.5333333333333334,1.842670170343998
lasso,recency_weighted,1,20,0.32813332566743647,0.1961247975071316,0.5166666666666667,1.7211737116376706
lasso,recency_weighted,1,30,0.31467709768608293,0.1884287904813253,0.5,1.715612943716327
lasso,val_weighted,1,10,0.2902948375467144,0.1658158269263587,0.5333333333333334,1.842670170343998
lasso,val_weighted,1,20,0.32813332566743647,0.1961247975071316,0.5166666666666667,1.7211737116376706
lasso,val_weighted,1,30,0.31467709768608293,0.1884287904813253,0.5,1.715612943716327
lightgbm,mean,1,10,0.24039393546039395,0.21353387647226038,0.5333333333333333,1.8128080910183477
lightgbm,mean,1,20,0.16313948696779482,0.283138398015939,0.4333333333333334,1.8469846955998528
lightgbm,mean,1,30,0.20735621194465606,0.2512033551823476,0.4833333333333334,1.8563366899313016
lightgbm,recency_weighted,1,10,0.24039393546039395,0.21353387647226038,0.5333333333333333,1.8128080910183477
lightgbm,recency_weighted,1,20,0.16313948696779482,0.283138398015939,0.4333333333333334,1.8469846955998528
lightgbm,recency_weighted,1,30,0.20735621194465606,0.2512033551823476,0.4833333333333334,1.8563366899313016
lightgbm,val_weighted,1,10,0.24039393546039395,0.21353387647226038,0.5333333333333333,1.8128080910183477
lightgbm,val_weighted,1,20,0.16313948696779482,0.283138398015939,0.4333333333333334,1.8469846955998528
lightgbm,val_weighted,1,30,0.20735621194465606,0.2512033551823476,0.4833333333333334,1.8563366899313016
random_forest,mean,1,10,0.24006687314117317,0.23013965641590742,0.5166666666666667,1.760472253099548
random_forest,mean,1,20,0.2670482066754237,0.2492274103715848,0.5333333333333334,1.7359395561349693
random_forest,mean,1,30,0.2652126258894354,0.25680963614849517,0.5333333333333334,1.7348159009918187
random_forest,recency_weighted,1,10,0.24006687314117317,0.23013965641590742,0.5166666666666667,1.7604722530995478
random_forest,recency_weighted,1,20,0.2670482066754237,0.2492274103715848,0.5333333333333334,1.7359395561349693
random_forest,recency_weighted,1,30,0.2652126258894354,0.25680963614849517,0.5333333333333334,1.7348159009918191
random_forest,val_weighted,1,10,0.24006687314117317,0.23013965641590742,0.5166666666666667,1.760472253099548
random_forest,val_weighted,1,20,0.2670482066754237,0.2492274103715848,0.5333333333333334,1.7359395561349693
random_forest,val_weighted,1,30,0.2652126258894354,0.25680963614849517,0.5333333333333334,1.7348159009918191
ridge,mean,1,10,0.30169945250885893,0.1919918568542415,0.5166666666666667,1.9082791676230602
ridge,mean,1,20,0.32582482207733543,0.19858743223264316,0.55,1.7297182275451939
ridge,mean,1,30,0.3106085558571248,0.18466995544678144,0.5333333333333334,1.7217383729974405
ridge,recency_weighted,1,10,0.30169945250885893,0.1919918568542415,0.5166666666666667,1.9082791676230602
ridge,recency_weighted,1,20,0.32582482207733543,0.19858743223264316,0.55,1.7297182275451939
ridge,recency_weighted,1,30,0.3106085558571248,0.18466995544678144,0.5333333333333334,1.7217383729974405
ridge,val_weighted,1,10,0.30169945250885893,0.1919918568542415,0.5166666666666667,1.9082791676230602
ridge,val_weighted,1,20,0.32582482207733543,0.19858743223264316,0.55,1.7297182275451939
ridge,val_weighted,1,30,0.3106085558571248,0.18466995544678144,0.5333333333333334,1.7217383729974405
xgboost,mean,1,10,0.16350826776016536,0.2619580428729827,0.4333333333333333,1.8914749960688986
xgboost,mean,1,20,0.17406513704759902,0.24639501051134496,0.4333333333333333,1.8099227470510144
xgboost,mean,1,30,0.22872836229733212,0.2560204941519473,0.4833333333333334,1.7759384355124304
xgboost,recency_weighted,1,10,0.16350826776016536,0.2619580428729827,0.4333333333333333,1.8914749960688986
xgboost,recency_weighted,1,20,0.17406513704759902,0.24639501051134496,0.4333333333333333,1.8099227470510144
xgboost,recency_weighted,1,30,0.22872836229733212,0.2560204941519473,0.4833333333333334,1.7759384355124304
xgboost,val_weighted,1,10,0.16350826776016536,0.2619580428729827,0.4333333333333333,1.8914749960688986
xgboost,val_weighted,1,20,0.17406513704759902,0.24639501051134496,0.4333333333333333,1.8099227470510144
xgboost,val_weighted,1,30,0.22872836229733212,0.2560204941519473,0.4833333333333334,1.7759384355124304
