sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,K,era_ensemble,ridge,10,val_weighted,333,50,0.8068119999952614
football,K,era_ensemble,lasso,10,val_weighted,333,50,0.01344912505010143
football,K,era_ensemble,elasticnet,10,val_weighted,333,50,0.012601499969605356
football,K,era_ensemble,random_forest,10,val_weighted,333,50,0.41676433401880786
football,K,era_ensemble,lightgbm,10,val_weighted,333,50,0.5572553750243969
football,K,era_ensemble,xgboost,10,val_weighted,333,50,0.41149037500144914
football,K,era_ensemble,ridge,10,mean,333,50,0.004247458011377603
football,K,era_ensemble,lasso,10,mean,333,50,0.00492458394728601
football,K,era_ensemble,elasticnet,10,mean,333,50,0.005083166004624218
football,K,era_ensemble,random_forest,10,mean,333,50,0.17014491697773337
football,K,era_ensemble,lightgbm,10,mean,333,50,0.2471194580430165
football,K,era_ensemble,xgboost,10,mean,333,50,0.1876395420404151
football,K,era_ensemble,ridge,10,recency_weighted,333,50,0.004105250001884997
football,K,era_ensemble,lasso,10,recency_weighted,333,50,0.004746874968986958
football,K,era_ensemble,elasticnet,10,recency_weighted,333,50,0.004838166991248727
football,K,era_ensemble,random_forest,10,recency_weighted,333,50,0.16119162499671802
football,K,era_ensemble,lightgbm,10,recency_weighted,333,50,0.28288679203251377
football,K,era_ensemble,xgboost,10,recency_weighted,333,50,0.18978237500414252
football,K,era_ensemble,ridge,20,val_weighted,633,50,0.012656957958824933
football,K,era_ensemble,lasso,20,val_weighted,633,50,0.014798125019297004
football,K,era_ensemble,elasticnet,20,val_weighted,633,50,0.01875312504125759
football,K,era_ensemble,random_forest,20,val_weighted,633,50,0.49696887499885634
football,K,era_ensemble,lightgbm,20,val_weighted,633,50,1.0091610840172507
football,K,era_ensemble,xgboost,20,val_weighted,633,50,0.42237254203064367
football,K,era_ensemble,ridge,20,mean,633,50,0.005179084022529423
football,K,era_ensemble,lasso,20,mean,633,50,0.005723042006138712
football,K,era_ensemble,elasticnet,20,mean,633,50,0.007943500007968396
football,K,era_ensemble,random_forest,20,mean,633,50,0.2330924579873681
football,K,era_ensemble,lightgbm,20,mean,633,50,0.5026195829850622
football,K,era_ensemble,xgboost,20,mean,633,50,0.1972745000384748
football,K,era_ensemble,ridge,20,recency_weighted,633,50,0.005007083003874868
football,K,era_ensemble,lasso,20,recency_weighted,633,50,0.005755875026807189
football,K,era_ensemble,elasticnet,20,recency_weighted,633,50,0.007969625003170222
football,K,era_ensemble,random_forest,20,recency_weighted,633,50,0.2378742080181837
football,K,era_ensemble,lightgbm,20,recency_weighted,633,50,0.5075207920162939
football,K,era_ensemble,xgboost,20,recency_weighted,633,50,0.1950219579739496
football,K,era_ensemble,ridge,30,val_weighted,633,50,0.012997415964491665
football,K,era_ensemble,lasso,30,val_weighted,633,50,0.01621812500525266
football,K,era_ensemble,elasticnet,30,val_weighted,633,50,0.01962787500815466
football,K,era_ensemble,random_forest,30,val_weighted,633,50,0.49877737497445196
football,K,era_ensemble,lightgbm,30,val_weighted,633,50,0.9874645409872755
football,K,era_ensemble,xgboost,30,val_weighted,633,50,0.400058250001166
football,K,era_ensemble,ridge,30,mean,633,50,0.004691416979767382
football,K,era_ensemble,lasso,30,mean,633,50,0.005785415996797383
football,K,era_ensemble,elasticnet,30,mean,633,50,0.007972292019985616
football,K,era_ensemble,random_forest,30,mean,633,50,0.23466604197164997
football,K,era_ensemble,lightgbm,30,mean,633,50,0.4443097079638392
football,K,era_ensemble,xgboost,30,mean,633,50,0.19211058400105685
football,K,era_ensemble,ridge,30,recency_weighted,633,50,0.005309334024786949
football,K,era_ensemble,lasso,30,recency_weighted,633,50,0.005702792026568204
football,K,era_ensemble,elasticnet,30,recency_weighted,633,50,0.007280082965735346
football,K,era_ensemble,random_forest,30,recency_weighted,633,50,0.25314924999838695
football,K,era_ensemble,lightgbm,30,recency_weighted,633,50,0.5084664160385728
football,K,era_ensemble,xgboost,30,recency_weighted,633,50,0.19522212498122826
