sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,QB,era_ensemble,ridge,10,val_weighted,556,73,0.9940097209982923
football,QB,era_ensemble,lasso,10,val_weighted,556,73,0.10019181399911758
football,QB,era_ensemble,elasticnet,10,val_weighted,556,73,0.10598112000297988
football,QB,era_ensemble,random_forest,10,val_weighted,556,73,2.4195049610025308
football,QB,era_ensemble,lightgbm,10,val_weighted,556,73,0.5356311979994643
football,QB,era_ensemble,xgboost,10,val_weighted,556,73,1.7958267659996636
football,QB,era_ensemble,ridge,10,mean,556,73,0.03951443699770607
football,QB,era_ensemble,lasso,10,mean,556,73,0.04530090700063738
football,QB,era_ensemble,elasticnet,10,mean,556,73,0.044673005999356974
football,QB,era_ensemble,random_forest,10,mean,556,73,1.1433469120020163
football,QB,era_ensemble,lightgbm,10,mean,556,73,0.22230170100010582
football,QB,era_ensemble,xgboost,10,mean,556,73,1.1034879380022176
football,QB,era_ensemble,ridge,10,recency_weighted,556,73,0.036822654998104554
football,QB,era_ensemble,lasso,10,recency_weighted,556,73,0.048249191997456364
football,QB,era_ensemble,elasticnet,10,recency_weighted,556,73,0.042843372000788804
football,QB,era_ensemble,random_forest,10,recency_weighted,556,73,1.0873751250001078
football,QB,era_ensemble,lightgbm,10,recency_weighted,556,73,0.19965847200001008
football,QB,era_ensemble,xgboost,10,recency_weighted,556,73,0.996096728998964
football,QB,era_ensemble,ridge,20,val_weighted,1092,73,0.10564288500245311
football,QB,era_ensemble,lasso,20,val_weighted,1092,73,0.11129062300096848
football,QB,era_ensemble,elasticnet,20,val_weighted,1092,73,0.11282101899996633
football,QB,era_ensemble,random_forest,20,val_weighted,1092,73,2.798806118000357
football,QB,era_ensemble,lightgbm,20,val_weighted,1092,73,0.835407546001079
football,QB,era_ensemble,xgboost,20,val_weighted,1092,73,1.9787068869991344
football,QB,era_ensemble,ridge,20,mean,1092,73,0.040201888001320185
football,QB,era_ensemble,lasso,20,mean,1092,73,0.051275388002977706
football,QB,era_ensemble,elasticnet,20,mean,1092,73,0.046575529002439
football,QB,era_ensemble,random_forest,20,mean,1092,73,1.3718117239986896
football,QB,era_ensemble,lightgbm,20,mean,1092,73,0.49046055099825026
football,QB,era_ensemble,xgboost,20,mean,1092,73,1.0841680670018832
football,QB,era_ensemble,ridge,20,recency_weighted,1092,73,0.04453956600264064
football,QB,era_ensemble,lasso,20,recency_weighted,1092,73,0.0517080919998989
football,QB,era_ensemble,elasticnet,20,recency_weighted,1092,73,0.05382450300021446
football,QB,era_ensemble,random_forest,20,recency_weighted,1092,73,1.3983098780008731
football,QB,era_ensemble,lightgbm,20,recency_weighted,1092,73,0.43364366099922336
football,QB,era_ensemble,xgboost,20,recency_weighted,1092,73,1.176903535000747
football,QB,era_ensemble,ridge,30,val_weighted,1092,73,0.0996902359984233
football,QB,era_ensemble,lasso,30,val_weighted,1092,73,0.1105496359996323
football,QB,era_ensemble,elasticnet,30,val_weighted,1092,73,0.11010010300014983
football,QB,era_ensemble,random_forest,30,val_weighted,1092,73,3.077271549998841
football,QB,era_ensemble,lightgbm,30,val_weighted,1092,73,0.8266125709997141
football,QB,era_ensemble,xgboost,30,val_weighted,1092,73,1.8571002300013788
football,QB,era_ensemble,ridge,30,mean,1092,73,0.043707000000722473
football,QB,era_ensemble,lasso,30,mean,1092,73,0.049584677999519045
football,QB,era_ensemble,elasticnet,30,mean,1092,73,0.05014850299994578
football,QB,era_ensemble,random_forest,30,mean,1092,73,1.396779347996926
football,QB,era_ensemble,lightgbm,30,mean,1092,73,0.4565973569988273
football,QB,era_ensemble,xgboost,30,mean,1092,73,1.1258373439995921
football,QB,era_ensemble,ridge,30,recency_weighted,1092,73,0.044045878003089456
football,QB,era_ensemble,lasso,30,recency_weighted,1092,73,0.04518055000153254
football,QB,era_ensemble,elasticnet,30,recency_weighted,1092,73,0.05054779399870313
football,QB,era_ensemble,random_forest,30,recency_weighted,1092,73,1.4142567689996213
football,QB,era_ensemble,lightgbm,30,recency_weighted,1092,73,0.4340658490000351
football,QB,era_ensemble,xgboost,30,recency_weighted,1092,73,1.1450254789997416
