model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,6,10,0.5026426802009072,0.2891795621042969,0.55,3.4237254285073733
elasticnet,mean,6,20,0.5131934052036441,0.27955934581550157,0.5666666666666667,3.3574115333977894
elasticnet,mean,6,30,0.5131934052036441,0.27955934581550157,0.5666666666666667,3.3574115333977894
elasticnet,mean,7,10,0.46986305000650147,0.27091109824607973,0.5666666666666667,3.3065679732482254
elasticnet,mean,7,20,0.48027463940539017,0.2613709579809057,0.5833333333333334,3.2354879884045573
elasticnet,mean,7,30,0.48027463940539017,0.2613709579809057,0.5833333333333334,3.2354879884045573
elasticnet,mean,8,10,0.44865526851753373,0.2874718449220145,0.5833333333333334,3.271914761646612
elasticnet,mean,8,20,0.4530479735863168,0.2733210470311831,0.5833333333333334,3.2007507418244843
elasticnet,mean,8,30,0.4530479735863168,0.2733210470311831,0.5833333333333334,3.2007507418244843
elasticnet,mean,10,10,0.3970072690229386,0.3096844928831791,0.6166666666666666,3.178967427253222
elasticnet,mean,10,20,0.40248754412820775,0.29349097731064744,0.6333333333333333,3.104978799713412
elasticnet,mean,10,30,0.40248754412820775,0.29349097731064744,0.6333333333333333,3.104978799713412
elasticnet,mean,12,10,0.4031816208200647,0.30612665711191817,0.6666666666666667,3.140696064409073
elasticnet,mean,12,20,0.4167636137064054,0.2842029973908019,0.65,3.097240194929406
elasticnet,mean,12,30,0.4167636137064054,0.2842029973908019,0.65,3.097240194929406
elasticnet,mean,14,10,0.3839451570101725,0.2685050505107145,0.7333333333333334,3.0184781120329007
elasticnet,mean,14,20,0.3970131210378888,0.26603873367104897,0.7166666666666667,2.9949327345055186
elasticnet,mean,14,30,0.3970131210378888,0.26603873367104897,0.7166666666666667,2.9949327345055186
elasticnet,recency_weighted,6,10,0.47933002244298784,0.3115885638111925,0.5666666666666667,3.5355962621407335
elasticnet,recency_weighted,6,20,0.48252474458282946,0.2990465567414868,0.5833333333333334,3.504857218732096
elasticnet,recency_weighted,6,30,0.48252474458282946,0.2990465567414868,0.5833333333333334,3.504857218732096
elasticnet,recency_weighted,7,10,0.442789683431797,0.2928505663300275,0.5833333333333334,3.393804509891818
elasticnet,recency_weighted,7,20,0.4469338618630402,0.2803729894390006,0.6,3.3609253727443287
elasticnet,recency_weighted,7,30,0.4469338618630402,0.2803729894390006,0.6,3.3609253727443287
