sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,QB,era_ensemble,ridge,10,val_weighted,103,18,0.6240910419728607
football,QB,era_ensemble,lasso,10,val_weighted,103,18,0.008181000011973083
football,QB,era_ensemble,elasticnet,10,val_weighted,103,18,0.007645416946616024
football,QB,era_ensemble,random_forest,10,val_weighted,103,18,0.3277569169877097
football,QB,era_ensemble,lightgbm,10,val_weighted,103,18,0.19429691601544619
football,QB,era_ensemble,xgboost,10,val_weighted,103,18,0.35117162502137944
football,QB,era_ensemble,ridge,10,mean,103,18,0.002890000003390014
football,QB,era_ensemble,lasso,10,mean,103,18,0.0026555840158835053
football,QB,era_ensemble,elasticnet,10,mean,103,18,0.002561874978709966
football,QB,era_ensemble,random_forest,10,mean,103,18,0.11539295798866078
football,QB,era_ensemble,lightgbm,10,mean,103,18,0.08074845798546448
football,QB,era_ensemble,xgboost,10,mean,103,18,0.16300933301681653
football,QB,era_ensemble,ridge,10,recency_weighted,103,18,0.002770334016531706
football,QB,era_ensemble,lasso,10,recency_weighted,103,18,0.0026146250311285257
football,QB,era_ensemble,elasticnet,10,recency_weighted,103,18,0.0027042910223826766
football,QB,era_ensemble,random_forest,10,recency_weighted,103,18,0.11303083301754668
football,QB,era_ensemble,lightgbm,10,recency_weighted,103,18,0.07073824998224154
football,QB,era_ensemble,xgboost,10,recency_weighted,103,18,0.15924608299974352
football,QB,era_ensemble,ridge,20,val_weighted,217,18,0.008759166987147182
football,QB,era_ensemble,lasso,20,val_weighted,217,18,0.00850933400215581
football,QB,era_ensemble,elasticnet,20,val_weighted,217,18,0.008645916997920722
football,QB,era_ensemble,random_forest,20,val_weighted,217,18,0.27660729200579226
football,QB,era_ensemble,lightgbm,20,val_weighted,217,18,0.2587944580009207
football,QB,era_ensemble,xgboost,20,val_weighted,217,18,0.380486625013873
football,QB,era_ensemble,ridge,20,mean,217,18,0.0028946250095032156
football,QB,era_ensemble,lasso,20,mean,217,18,0.0026048329891636968
football,QB,era_ensemble,elasticnet,20,mean,217,18,0.0025888749514706433
football,QB,era_ensemble,random_forest,20,mean,217,18,0.11288958397926763
football,QB,era_ensemble,lightgbm,20,mean,217,18,0.135805000027176
football,QB,era_ensemble,xgboost,20,mean,217,18,0.16776270797709003
football,QB,era_ensemble,ridge,20,recency_weighted,217,18,0.002772333042230457
football,QB,era_ensemble,lasso,20,recency_weighted,217,18,0.0028462090413086116
football,QB,era_ensemble,elasticnet,20,recency_weighted,217,18,0.0025541670038364828
football,QB,era_ensemble,random_forest,20,recency_weighted,217,18,0.11208883300423622
football,QB,era_ensemble,lightgbm,20,recency_weighted,217,18,0.13504654198186472
football,QB,era_ensemble,xgboost,20,recency_weighted,217,18,0.17233420797856525
football,QB,era_ensemble,ridge,30,val_weighted,239,18,0.017709665989968926
football,QB,era_ensemble,lasso,30,val_weighted,239,18,0.015630167035851628
football,QB,era_ensemble,elasticnet,30,val_weighted,239,18,0.014928958029486239
football,QB,era_ensemble,random_forest,30,val_weighted,239,18,0.5292930420255288
football,QB,era_ensemble,lightgbm,30,val_weighted,239,18,0.28787454101257026
football,QB,era_ensemble,xgboost,30,val_weighted,239,18,0.6256376670207828
football,QB,era_ensemble,ridge,30,mean,239,18,0.005038667004555464
football,QB,era_ensemble,lasso,30,mean,239,18,0.0047999590169638395
football,QB,era_ensemble,elasticnet,30,mean,239,18,0.004690791014581919
football,QB,era_ensemble,random_forest,30,mean,239,18,0.21654191700508818
football,QB,era_ensemble,lightgbm,30,mean,239,18,0.15231400000629947
football,QB,era_ensemble,xgboost,30,mean,239,18,0.3072528750053607
football,QB,era_ensemble,ridge,30,recency_weighted,239,18,0.0047865830129012465
football,QB,era_ensemble,lasso,30,recency_weighted,239,18,0.004396583011839539
football,QB,era_ensemble,elasticnet,30,recency_weighted,239,18,0.004389624984469265
football,QB,era_ensemble,random_forest,30,recency_weighted,239,18,0.2155345000210218
football,QB,era_ensemble,lightgbm,30,recency_weighted,239,18,0.15514554199762642
football,QB,era_ensemble,xgboost,30,recency_weighted,239,18,0.3079779999679886
