model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,1,10,0.4123809523809524,0.39996952831780375,1.0,5.843826524642517
elasticnet,mean,1,20,0.4123809523809524,0.39472643300911553,1.0,5.818195659396804
elasticnet,mean,1,30,0.3780952380952381,0.3261965588588235,1.0,7.063334949992949
elasticnet,recency_weighted,1,10,0.4123809523809524,0.39996952831780375,1.0,5.843826524642517
elasticnet,recency_weighted,1,20,0.4123809523809524,0.39472643300911553,1.0,5.818195659396804
elasticnet,recency_weighted,1,30,0.4133333333333334,0.34039542831690267,1.0,6.6105324391967955
elasticnet,val_weighted,1,10,0.4123809523809524,0.39996952831780375,1.0,5.843826524642517
elasticnet,val_weighted,1,20,0.4123809523809524,0.39472643300911553,1.0,5.818195659396804
elasticnet,val_weighted,1,30,0.4133333333333334,0.34039542831690267,1.0,7.004172994013541
lasso,mean,1,10,0.4123809523809524,0.39996952831780375,1.0,5.861846833126971
lasso,mean,1,20,0.4123809523809524,0.39472643300911553,1.0,5.829116499273974
lasso,mean,1,30,0.3780952380952381,0.3261965588588235,1.0,7.060170630781393
lasso,recency_weighted,1,10,0.4123809523809524,0.39996952831780375,1.0,5.861846833126971
lasso,recency_weighted,1,20,0.4123809523809524,0.39472643300911553,1.0,5.829116499273974
lasso,recency_weighted,1,30,0.4133333333333334,0.34039542831690267,1.0,6.608914854646623
lasso,val_weighted,1,10,0.4123809523809524,0.39996952831780375,1.0,5.861846833126971
lasso,val_weighted,1,20,0.4123809523809524,0.39472643300911553,1.0,5.829116499273974
lasso,val_weighted,1,30,0.4133333333333334,0.34039542831690267,1.0,6.924136411591523
lightgbm,mean,1,10,0.3295238095238095,0.5407189511446626,1.0,5.547672605145911
lightgbm,mean,1,20,0.34190476190476193,0.49444934900367576,1.0,6.015740352527473
lightgbm,mean,1,30,0.38190476190476186,0.42784528430448704,1.0,7.321898542624258
lightgbm,recency_weighted,1,10,0.3295238095238095,0.5407189511446626,1.0,5.547672605145911
lightgbm,recency_weighted,1,20,0.34190476190476193,0.49444934900367576,1.0,6.015740352527473
lightgbm,recency_weighted,1,30,0.38190476190476186,0.42784528430448704,1.0,6.795286726511279
lightgbm,val_weighted,1,10,0.3295238095238095,0.5407189511446626,1.0,5.547672605145911
lightgbm,val_weighted,1,20,0.34190476190476193,0.49444934900367576,1.0,6.015740352527473
lightgbm,val_weighted,1,30,0.38190476190476186,0.42784528430448704,1.0,7.321898542624258
random_forest,mean,1,10,0.4723809523809524,0.3508194165643469,1.0,5.536540529134588
random_forest,mean,1,20,0.46190476190476193,0.26243992941869193,1.0,6.294811984425826
random_forest,mean,1,30,0.43095238095238103,0.29099290497931274,1.0,7.122524913135213
random_forest,recency_weighted,1,10,0.4723809523809524,0.3508194165643469,1.0,5.536540529134588
random_forest,recency_weighted,1,20,0.46190476190476193,0.26243992941869193,1.0,6.294811984425826
random_forest,recency_weighted,1,30,0.48047619047619056,0.24163089108875271,1.0,6.773637065590957
random_forest,val_weighted,1,10,0.4723809523809524,0.3508194165643469,1.0,5.536540529134588
random_forest,val_weighted,1,20,0.46190476190476193,0.26243992941869193,1.0,6.294811984425826
random_forest,val_weighted,1,30,0.43095238095238103,0.29099290497931274,1.0,7.138114829402113
ridge,mean,1,10,0.39904761904761904,0.3853562418160318,1.0,5.958671494283263
ridge,mean,1,20,0.39904761904761904,0.3835499240225281,1.0,5.744730375916541
ridge,mean,1,30,0.4133333333333334,0.34039542831690267,1.0,6.983691817456441
ridge,recency_weighted,1,10,0.39904761904761904,0.3853562418160318,1.0,5.958671494283263
ridge,recency_weighted,1,20,0.39904761904761904,0.3835499240225281,1.0,5.744730375916541
ridge,recency_weighted,1,30,0.4204761904761905,0.3374095998860111,1.0,6.515667130107123
ridge,val_weighted,1,10,0.39904761904761904,0.3853562418160318,1.0,5.958671494283263
ridge,val_weighted,1,20,0.39904761904761904,0.3835499240225281,1.0,5.744730375916541
ridge,val_weighted,1,30,0.4133333333333334,0.34039542831690267,1.0,6.924441163100832
xgboost,mean,1,10,0.38571428571428573,0.3991594058675268,1.0,5.631567845665612
xgboost,mean,1,20,0.3123809523809524,0.5557660032245011,1.0,6.304733459233252
xgboost,mean,1,30,0.3319047619047619,0.3856246221474314,1.0,6.973354500679102
xgboost,recency_weighted,1,10,0.38571428571428573,0.3991594058675268,1.0,5.631567845665612
xgboost,recency_weighted,1,20,0.3123809523809524,0.5557660032245011,1.0,6.304733459233252
xgboost,recency_weighted,1,30,0.30142857142857143,0.4754923453869073,1.0,6.702051949322889
xgboost,val_weighted,1,10,0.38571428571428573,0.3991594058675268,1.0,5.631567845665612
xgboost,val_weighted,1,20,0.3123809523809524,0.5557660032245011,1.0,6.304733459233252
xgboost,val_weighted,1,30,0.3319047619047619,0.3856246221474314,1.0,6.966666063680774
