sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,RB,era_ensemble,ridge,10,val_weighted,1253,81,1.1360051840019878
football,RB,era_ensemble,lasso,10,val_weighted,1253,81,0.13139046200012672
football,RB,era_ensemble,elasticnet,10,val_weighted,1253,81,0.12398021500121104
football,RB,era_ensemble,random_forest,10,val_weighted,1253,81,2.800732456998958
football,RB,era_ensemble,lightgbm,10,val_weighted,1253,81,0.8619183830014663
football,RB,era_ensemble,xgboost,10,val_weighted,1253,81,2.179704024001694
football,RB,era_ensemble,ridge,10,mean,1253,81,0.0497905330012145
football,RB,era_ensemble,lasso,10,mean,1253,81,0.05761961199823418
football,RB,era_ensemble,elasticnet,10,mean,1253,81,0.05766865800251253
football,RB,era_ensemble,random_forest,10,mean,1253,81,1.4561575670013553
football,RB,era_ensemble,lightgbm,10,mean,1253,81,0.38611614299952635
football,RB,era_ensemble,xgboost,10,mean,1253,81,1.229564297998877
football,RB,era_ensemble,ridge,10,recency_weighted,1253,81,0.04893712700140895
football,RB,era_ensemble,lasso,10,recency_weighted,1253,81,0.05743868499848759
football,RB,era_ensemble,elasticnet,10,recency_weighted,1253,81,0.058509587001026375
football,RB,era_ensemble,random_forest,10,recency_weighted,1253,81,1.397262316000706
football,RB,era_ensemble,lightgbm,10,recency_weighted,1253,81,0.38822541300032753
football,RB,era_ensemble,xgboost,10,recency_weighted,1253,81,1.1460259829982533
football,RB,era_ensemble,ridge,20,val_weighted,2460,81,0.12875183900177944
football,RB,era_ensemble,lasso,20,val_weighted,2460,81,0.15377969299879624
football,RB,era_ensemble,elasticnet,20,val_weighted,2460,81,0.15255226700173807
football,RB,era_ensemble,random_forest,20,val_weighted,2460,81,5.2438315830004285
football,RB,era_ensemble,lightgbm,20,val_weighted,2460,81,1.2485699110002315
football,RB,era_ensemble,xgboost,20,val_weighted,2460,81,2.089219614998001
football,RB,era_ensemble,ridge,20,mean,2460,81,0.061478734998672735
football,RB,era_ensemble,lasso,20,mean,2460,81,0.07865469399985159
football,RB,era_ensemble,elasticnet,20,mean,2460,81,0.07707730399852153
football,RB,era_ensemble,random_forest,20,mean,2460,81,2.5046466040002997
football,RB,era_ensemble,lightgbm,20,mean,2460,81,0.6556968660006532
football,RB,era_ensemble,xgboost,20,mean,2460,81,1.1949737969989656
football,RB,era_ensemble,ridge,20,recency_weighted,2460,81,0.06044924100206117
football,RB,era_ensemble,lasso,20,recency_weighted,2460,81,0.07743235300222295
football,RB,era_ensemble,elasticnet,20,recency_weighted,2460,81,0.07673453800089192
football,RB,era_ensemble,random_forest,20,recency_weighted,2460,81,2.439735677999124
football,RB,era_ensemble,lightgbm,20,recency_weighted,2460,81,0.6377758140006335
football,RB,era_ensemble,xgboost,20,recency_weighted,2460,81,1.2680382619982993
football,RB,era_ensemble,ridge,30,val_weighted,2460,81,0.13186289599980228
football,RB,era_ensemble,lasso,30,val_weighted,2460,81,0.16933936699933838
football,RB,era_ensemble,elasticnet,30,val_weighted,2460,81,0.1634315779992903
football,RB,era_ensemble,random_forest,30,val_weighted,2460,81,5.203223311000329
football,RB,era_ensemble,lightgbm,30,val_weighted,2460,81,1.2194877120018646
football,RB,era_ensemble,xgboost,30,val_weighted,2460,81,2.404362312001467
football,RB,era_ensemble,ridge,30,mean,2460,81,0.05821448999995482
football,RB,era_ensemble,lasso,30,mean,2460,81,0.08212011300201993
football,RB,era_ensemble,elasticnet,30,mean,2460,81,0.07784926999738673
football,RB,era_ensemble,random_forest,30,mean,2460,81,2.7118523709978035
football,RB,era_ensemble,lightgbm,30,mean,2460,81,1.0101233249988582
football,RB,era_ensemble,xgboost,30,mean,2460,81,1.3387349430013273
football,RB,era_ensemble,ridge,30,recency_weighted,2460,81,0.060663768999802414
football,RB,era_ensemble,lasso,30,recency_weighted,2460,81,0.0755017930023314
football,RB,era_ensemble,elasticnet,30,recency_weighted,2460,81,0.10625014399920474
football,RB,era_ensemble,random_forest,30,recency_weighted,2460,81,2.7709875630025635
football,RB,era_ensemble,lightgbm,30,recency_weighted,2460,81,0.637623533999431
football,RB,era_ensemble,xgboost,30,recency_weighted,2460,81,1.217309520998242
