model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,4,10,0.8118958883553449,0.022886233513259885,0.5,2.6178891574459864
elasticnet,mean,4,20,0.8101624295489657,0.024810969279677346,0.5166666666666666,2.6106742310413544
elasticnet,mean,4,30,0.8101624295489657,0.024810969279677346,0.5166666666666666,2.6106742310413544
elasticnet,mean,6,10,0.8214080321215121,0.031105567201030984,0.5166666666666667,2.5971071699158763
elasticnet,mean,6,20,0.8213857953437419,0.033316597997904665,0.5333333333333333,2.5853573098025224
elasticnet,mean,6,30,0.8213857953437419,0.033316597997904665,0.5333333333333333,2.5853573098025224
elasticnet,mean,8,10,0.823547607291397,0.041746785058474796,0.5166666666666667,2.652488843231437
elasticnet,mean,8,20,0.8249568310802864,0.04154546766521614,0.5333333333333333,2.6364860214486847
elasticnet,mean,8,30,0.8249568310802864,0.04154546766521614,0.5333333333333333,2.6364860214486847
elasticnet,mean,10,10,0.8051180265971098,0.05704343826994867,0.55,2.7664925973983854
elasticnet,mean,10,20,0.8066240250339994,0.05777462796978621,0.55,2.7533255942508297
elasticnet,mean,10,30,0.8066240250339994,0.05777462796978621,0.55,2.7533255942508297
elasticnet,mean,12,10,0.7834056869649348,0.0836892127463058,0.55,2.896513596633578
elasticnet,mean,12,20,0.784666890205546,0.08478942986276719,0.5666666666666667,2.875394283885548
elasticnet,mean,12,30,0.784666890205546,0.08478942986276719,0.5666666666666667,2.875394283885548
elasticnet,recency_weighted,4,10,0.8111407427882998,0.02096776053821647,0.5,2.6444901987807485
elasticnet,recency_weighted,4,20,0.8083973294904567,0.022810855532853846,0.5,2.6421563120598908
elasticnet,recency_weighted,4,30,0.8083973294904567,0.022810855532853846,0.5,2.6421563120598908
elasticnet,recency_weighted,6,10,0.8216759033947444,0.028297459236211964,0.5166666666666667,2.6171433636432644
elasticnet,recency_weighted,6,20,0.8191260989957628,0.030584487949393366,0.5166666666666667,2.61216253829233
elasticnet,recency_weighted,6,30,0.8191260989957628,0.030584487949393366,0.5166666666666667,2.61216253829233
elasticnet,recency_weighted,8,10,0.8242436331655615,0.03829352492721792,0.5166666666666667,2.6722990505908717
elasticnet,recency_weighted,8,20,0.8215091043880456,0.039225900185563344,0.5166666666666667,2.664567195230658
elasticnet,recency_weighted,8,30,0.8215091043880456,0.039225900185563344,0.5166666666666667,2.664567195230658
elasticnet,recency_weighted,10,10,0.8054952156227853,0.05546967478377684,0.55,2.778625971107676
elasticnet,recency_weighted,10,20,0.8030182787920956,0.05700214757307026,0.5333333333333334,2.7722823007497306
elasticnet,recency_weighted,10,30,0.8030182787920956,0.05700214757307026,0.5333333333333334,2.7722823007497306
elasticnet,recency_weighted,12,10,0.7834882790214601,0.084371035853962,0.5833333333333333,2.9027715988916007
elasticnet,recency_weighted,12,20,0.7811983173354264,0.08540208154412493,0.5833333333333333,2.893080558226688
elasticnet,recency_weighted,12,30,0.7811983173354264,0.08540208154412493,0.5833333333333333,2.893080558226688
elasticnet,val_weighted,4,10,0.8121472694195424,0.022278764098197193,0.5,2.6175344147009616
elasticnet,val_weighted,4,20,0.8098619692399787,0.02495308194870923,0.5166666666666666,2.6101496009844283
elasticnet,val_weighted,4,30,0.8098619692399787,0.02495308194870923,0.5166666666666666,2.6101496009844283
elasticnet,val_weighted,6,10,0.8216668824603666,0.03043199451301885,0.5166666666666667,2.5968251081631433
elasticnet,val_weighted,6,20,0.8210371499627076,0.03345015280471915,0.5333333333333333,2.5848045432691524
elasticnet,val_weighted,6,30,0.8210371499627076,0.03345015280471915,0.5333333333333333,2.5848045432691524
elasticnet,val_weighted,8,10,0.8236380531474424,0.04136231286996892,0.5166666666666667,2.652512961161313
elasticnet,val_weighted,8,20,0.8244548746553584,0.04196774855407202,0.5333333333333333,2.6362469098102346
elasticnet,val_weighted,8,30,0.8244548746553584,0.04196774855407202,0.5333333333333333,2.6362469098102346
elasticnet,val_weighted,10,10,0.8052619972151837,0.05649380003745723,0.55,2.7668863543318216
elasticnet,val_weighted,10,20,0.806303593119895,0.0580217636889792,0.55,2.753478792097517
elasticnet,val_weighted,10,30,0.806303593119895,0.0580217636889792,0.55,2.753478792097517
elasticnet,val_weighted,12,10,0.7835416405781068,0.08281281309566874,0.55,2.8969498020827835
elasticnet,val_weighted,12,20,0.7844590525335138,0.08497817916006509,0.5666666666666667,2.8754843334948568
elasticnet,val_weighted,12,30,0.7844590525335138,0.08497817916006509,0.5666666666666667,2.8754843334948568
lasso,mean,4,10,0.8123696602190131,0.021997049706572035,0.5166666666666666,2.603746092104759
lasso,mean,4,20,0.8094757432366932,0.02645341802816221,0.5166666666666666,2.6014817843420373
lasso,mean,4,30,0.8094757432366932,0.02645341802816221,0.5166666666666666,2.6014817843420373
lasso,mean,6,10,0.8225120812440286,0.030110088450557397,0.5333333333333333,2.585550624374297
lasso,mean,6,20,0.8210561094388888,0.03451131274839315,0.5333333333333333,2.578826042204427
lasso,mean,6,30,0.8210561094388888,0.03451131274839315,0.5333333333333333,2.578826042204427
