sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,RB,era_ensemble,ridge,10,val_weighted,217,18,0.77126116695581
football,RB,era_ensemble,lasso,10,val_weighted,217,18,0.009313374990597367
football,RB,era_ensemble,elasticnet,10,val_weighted,217,18,0.007670124992728233
football,RB,era_ensemble,random_forest,10,val_weighted,217,18,0.3444342919974588
football,RB,era_ensemble,lightgbm,10,val_weighted,217,18,0.3554401670116931
football,RB,era_ensemble,xgboost,10,val_weighted,217,18,0.3783397920196876
football,RB,era_ensemble,ridge,10,mean,217,18,0.002815791987814009
football,RB,era_ensemble,lasso,10,mean,217,18,0.0025067089591175318
football,RB,era_ensemble,elasticnet,10,mean,217,18,0.002617624995764345
football,RB,era_ensemble,random_forest,10,mean,217,18,0.11443791701458395
football,RB,era_ensemble,lightgbm,10,mean,217,18,0.15741833299398422
football,RB,era_ensemble,xgboost,10,mean,217,18,0.16264712502015755
football,RB,era_ensemble,ridge,10,recency_weighted,217,18,0.002684874983970076
football,RB,era_ensemble,lasso,10,recency_weighted,217,18,0.0024750829907134175
football,RB,era_ensemble,elasticnet,10,recency_weighted,217,18,0.002513791958335787
football,RB,era_ensemble,random_forest,10,recency_weighted,217,18,0.21936445799656212
football,RB,era_ensemble,lightgbm,10,recency_weighted,217,18,0.16439604200422764
football,RB,era_ensemble,xgboost,10,recency_weighted,217,18,0.16592945798765868
football,RB,era_ensemble,ridge,20,val_weighted,421,18,0.009008333960082382
football,RB,era_ensemble,lasso,20,val_weighted,421,18,0.008953374985139817
football,RB,era_ensemble,elasticnet,20,val_weighted,421,18,0.009059208037797362
football,RB,era_ensemble,random_forest,20,val_weighted,421,18,0.2856755829998292
football,RB,era_ensemble,lightgbm,20,val_weighted,421,18,0.45844916702480987
football,RB,era_ensemble,xgboost,20,val_weighted,421,18,0.3515621660044417
football,RB,era_ensemble,ridge,20,mean,421,18,0.002904666995164007
football,RB,era_ensemble,lasso,20,mean,421,18,0.002935374970547855
football,RB,era_ensemble,elasticnet,20,mean,421,18,0.002754917019046843
football,RB,era_ensemble,random_forest,20,mean,421,18,0.12444962502922863
football,RB,era_ensemble,lightgbm,20,mean,421,18,0.2441286250250414
football,RB,era_ensemble,xgboost,20,mean,421,18,0.16663262498332188
football,RB,era_ensemble,ridge,20,recency_weighted,421,18,0.003019916999619454
football,RB,era_ensemble,lasso,20,recency_weighted,421,18,0.00273800001014024
football,RB,era_ensemble,elasticnet,20,recency_weighted,421,18,0.0027510829968377948
football,RB,era_ensemble,random_forest,20,recency_weighted,421,18,0.12798424996435642
football,RB,era_ensemble,lightgbm,20,recency_weighted,421,18,0.2636250840150751
football,RB,era_ensemble,xgboost,20,recency_weighted,421,18,0.17436433298280463
football,RB,era_ensemble,ridge,30,val_weighted,468,18,0.015978041978087276
football,RB,era_ensemble,lasso,30,val_weighted,468,18,0.015636875003110617
football,RB,era_ensemble,elasticnet,30,val_weighted,468,18,0.015529666969086975
football,RB,era_ensemble,random_forest,30,val_weighted,468,18,0.5527113339630887
football,RB,era_ensemble,lightgbm,30,val_weighted,468,18,0.5064041249570437
football,RB,era_ensemble,xgboost,30,val_weighted,468,18,0.6570656669791788
football,RB,era_ensemble,ridge,30,mean,468,18,0.004981750040315092
football,RB,era_ensemble,lasso,30,mean,468,18,0.004653499985579401
football,RB,era_ensemble,elasticnet,30,mean,468,18,0.0046268749865703285
football,RB,era_ensemble,random_forest,30,mean,468,18,0.22973762499168515
football,RB,era_ensemble,lightgbm,30,mean,468,18,0.271118208009284
football,RB,era_ensemble,xgboost,30,mean,468,18,0.32123395800590515
football,RB,era_ensemble,ridge,30,recency_weighted,468,18,0.005013874964788556
football,RB,era_ensemble,lasso,30,recency_weighted,468,18,0.004826707998290658
football,RB,era_ensemble,elasticnet,30,recency_weighted,468,18,0.004621708008926362
football,RB,era_ensemble,random_forest,30,recency_weighted,468,18,0.23480274999747053
football,RB,era_ensemble,lightgbm,30,recency_weighted,468,18,0.27795920899370685
football,RB,era_ensemble,xgboost,30,recency_weighted,468,18,0.317664916976355
