model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,1,10,0.5148529624829906,0.15457817637931917,0.7666666666666667,3.345569803244929
elasticnet,mean,1,20,0.5091964355916982,0.18478511104468773,0.7666666666666667,3.47020839243993
elasticnet,mean,1,30,0.5310207121717859,0.17774175284142307,0.7333333333333334,3.288879002023596
elasticnet,recency_weighted,1,10,0.5148529624829906,0.15457817637931917,0.7666666666666667,3.345569803244929
elasticnet,recency_weighted,1,20,0.5091964355916982,0.18478511104468773,0.7666666666666667,3.47020839243993
elasticnet,recency_weighted,1,30,0.51955747937084,0.1954310755065223,0.7333333333333334,3.346189947922511
elasticnet,val_weighted,1,10,0.5148529624829906,0.15457817637931917,0.7666666666666667,3.345569803244929
elasticnet,val_weighted,1,20,0.5091964355916982,0.18478511104468773,0.7666666666666667,3.47020839243993
elasticnet,val_weighted,1,30,0.5221342037166917,0.18914061358683015,0.7333333333333334,3.3005892918967916
lasso,mean,1,10,0.515302832173963,0.16608102020607118,0.7666666666666667,3.337648976486752
lasso,mean,1,20,0.5184111275890466,0.1902257883769777,0.7666666666666667,3.4652871850144473
lasso,mean,1,30,0.5361319609756265,0.18570517240867745,0.7333333333333334,3.2924951509952103
lasso,recency_weighted,1,10,0.515302832173963,0.16608102020607118,0.7666666666666667,3.337648976486752
lasso,recency_weighted,1,20,0.5184111275890466,0.1902257883769777,0.7666666666666667,3.4652871850144473
lasso,recency_weighted,1,30,0.5124923236722021,0.19100221026876926,0.7333333333333334,3.3442825276519876
lasso,val_weighted,1,10,0.515302832173963,0.16608102020607118,0.7666666666666667,3.337648976486752
lasso,val_weighted,1,20,0.5184111275890466,0.1902257883769777,0.7666666666666667,3.4652871850144473
lasso,val_weighted,1,30,0.5275294844910137,0.18267483046459135,0.7333333333333334,3.2994667169819025
lightgbm,mean,1,10,0.44336033999938423,0.17439750831883377,0.7666666666666667,3.7118564557083658
lightgbm,mean,1,20,0.40352258925492734,0.19014551792599144,0.7333333333333334,3.8753228691414443
lightgbm,mean,1,30,0.4086298714503842,0.18054679525023237,0.7166666666666667,3.884238136750958
lightgbm,recency_weighted,1,10,0.44336033999938423,0.17439750831883377,0.7666666666666667,3.7118564557083658
lightgbm,recency_weighted,1,20,0.40352258925492734,0.19014551792599144,0.7333333333333334,3.8753228691414443
lightgbm,recency_weighted,1,30,0.4086298714503842,0.18054679525023237,0.7166666666666667,3.8317566659568394
lightgbm,val_weighted,1,10,0.44336033999938423,0.17439750831883377,0.7666666666666667,3.7118564557083658
lightgbm,val_weighted,1,20,0.40352258925492734,0.19014551792599144,0.7333333333333334,3.8753228691414443
lightgbm,val_weighted,1,30,0.4086298714503842,0.18054679525023237,0.7166666666666667,3.884238136750958
random_forest,mean,1,10,0.42849221317755753,0.1675681300898957,0.7333333333333334,3.623610541824282
random_forest,mean,1,20,0.41004932283555606,0.1465263994366019,0.7166666666666666,3.6461848225956985
random_forest,mean,1,30,0.4506415586466833,0.12525849831363628,0.7333333333333334,3.413038069255547
random_forest,recency_weighted,1,10,0.42849221317755753,0.1675681300898957,0.7333333333333334,3.623610541824282
random_forest,recency_weighted,1,20,0.41004932283555606,0.1465263994366019,0.7166666666666666,3.6461848225956985
random_forest,recency_weighted,1,30,0.44306452463357904,0.13163411414079584,0.7333333333333334,3.4889813753668664
random_forest,val_weighted,1,10,0.42849221317755753,0.1675681300898957,0.7333333333333334,3.623610541824282
random_forest,val_weighted,1,20,0.41004932283555606,0.1465263994366019,0.7166666666666666,3.6461848225956985
random_forest,val_weighted,1,30,0.45165793357610173,0.12411332238790576,0.7333333333333334,3.4174155505451593
ridge,mean,1,10,0.5297727504041179,0.1857767231608265,0.7833333333333333,3.3829064693293267
ridge,mean,1,20,0.5092185831740436,0.18654301544374347,0.7833333333333333,3.496157961247154
ridge,mean,1,30,0.5270589488736229,0.17725423526307496,0.7333333333333334,3.2884148374471955
ridge,recency_weighted,1,10,0.5297727504041179,0.1857767231608265,0.7833333333333333,3.3829064693293267
ridge,recency_weighted,1,20,0.5092185831740436,0.18654301544374347,0.7833333333333333,3.496157961247154
ridge,recency_weighted,1,30,0.5210022978892073,0.2111323581796,0.7666666666666666,3.340786702366009
ridge,val_weighted,1,10,0.5297727504041179,0.1857767231608265,0.7833333333333333,3.3829064693293267
ridge,val_weighted,1,20,0.5092185831740436,0.18654301544374347,0.7833333333333333,3.496157961247154
ridge,val_weighted,1,30,0.5187447029005837,0.18821050181341112,0.7333333333333334,3.2955581737307327
xgboost,mean,1,10,0.4249894166833875,0.1759543518143162,0.7666666666666667,3.708681055222005
xgboost,mean,1,20,0.3944028949779052,0.16028751811186856,0.75,3.8278831257689654
xgboost,mean,1,30,0.4621912641237501,0.17854588609773345,0.7166666666666666,3.6262423328808113
xgboost,recency_weighted,1,10,0.4249894166833875,0.1759543518143162,0.7666666666666667,3.708681055222005
xgboost,recency_weighted,1,20,0.3944028949779052,0.16028751811186856,0.75,3.8278831257689654
xgboost,recency_weighted,1,30,0.4996337092104322,0.16578429973296413,0.7333333333333333,3.5889598719766815
xgboost,val_weighted,1,10,0.4249894166833875,0.1759543518143162,0.7666666666666667,3.708681055222005
xgboost,val_weighted,1,20,0.3944028949779052,0.16028751811186856,0.75,3.8278831257689654
xgboost,val_weighted,1,30,0.4967711350957839,0.1886448625019115,0.7166666666666666,3.596984619381117
