sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,TE,era_ensemble,ridge,10,val_weighted,867,81,1.0221221689999993
football,TE,era_ensemble,lasso,10,val_weighted,867,81,0.13387856499997497
football,TE,era_ensemble,elasticnet,10,val_weighted,867,81,0.10022914299997865
football,TE,era_ensemble,random_forest,10,val_weighted,867,81,2.322656300999995
football,TE,era_ensemble,lightgbm,10,val_weighted,867,81,0.6502061769999727
football,TE,era_ensemble,xgboost,10,val_weighted,867,81,1.9525663900000154
football,TE,era_ensemble,ridge,10,mean,867,81,0.03869344299999966
football,TE,era_ensemble,lasso,10,mean,867,81,0.06168655999999828
football,TE,era_ensemble,elasticnet,10,mean,867,81,0.04671502700000474
football,TE,era_ensemble,random_forest,10,mean,867,81,1.1853665969999838
football,TE,era_ensemble,lightgbm,10,mean,867,81,0.45060116000001926
football,TE,era_ensemble,xgboost,10,mean,867,81,1.0054304980000097
football,TE,era_ensemble,ridge,10,recency_weighted,867,81,0.04624995000000354
football,TE,era_ensemble,lasso,10,recency_weighted,867,81,0.0563109110000255
football,TE,era_ensemble,elasticnet,10,recency_weighted,867,81,0.05000434400000131
football,TE,era_ensemble,random_forest,10,recency_weighted,867,81,1.1451341439999965
football,TE,era_ensemble,lightgbm,10,recency_weighted,867,81,0.2756281459999741
football,TE,era_ensemble,xgboost,10,recency_weighted,867,81,0.9508417649999501
football,TE,era_ensemble,ridge,20,val_weighted,1588,81,0.10179651900000408
football,TE,era_ensemble,lasso,20,val_weighted,1588,81,0.15151975399999174
football,TE,era_ensemble,elasticnet,20,val_weighted,1588,81,0.12015166800000543
football,TE,era_ensemble,random_forest,20,val_weighted,1588,81,3.1693650469999852
football,TE,era_ensemble,lightgbm,20,val_weighted,1588,81,0.9992306769999573
football,TE,era_ensemble,xgboost,20,val_weighted,1588,81,1.9909802980000109
football,TE,era_ensemble,ridge,20,mean,1588,81,0.04134625700004335
football,TE,era_ensemble,lasso,20,mean,1588,81,0.07016649500002359
football,TE,era_ensemble,elasticnet,20,mean,1588,81,0.05242621700000427
football,TE,era_ensemble,random_forest,20,mean,1588,81,1.7164517339999747
football,TE,era_ensemble,lightgbm,20,mean,1588,81,0.536654513999963
football,TE,era_ensemble,xgboost,20,mean,1588,81,1.0107606260000352
football,TE,era_ensemble,ridge,20,recency_weighted,1588,81,0.04710373500000742
football,TE,era_ensemble,lasso,20,recency_weighted,1588,81,0.07043218799998385
football,TE,era_ensemble,elasticnet,20,recency_weighted,1588,81,0.055811922000032155
football,TE,era_ensemble,random_forest,20,recency_weighted,1588,81,1.6230493880000267
football,TE,era_ensemble,lightgbm,20,recency_weighted,1588,81,0.5326531719999821
football,TE,era_ensemble,xgboost,20,recency_weighted,1588,81,1.0068307290000007
football,TE,era_ensemble,ridge,30,val_weighted,1588,81,0.10016559100000677
football,TE,era_ensemble,lasso,30,val_weighted,1588,81,0.14781436999999187
football,TE,era_ensemble,elasticnet,30,val_weighted,1588,81,0.11651848700000755
football,TE,era_ensemble,random_forest,30,val_weighted,1588,81,3.3594695599999795
football,TE,era_ensemble,lightgbm,30,val_weighted,1588,81,1.0593197759999953
football,TE,era_ensemble,xgboost,30,val_weighted,1588,81,1.8617976430000454
football,TE,era_ensemble,ridge,30,mean,1588,81,0.0468547539999804
football,TE,era_ensemble,lasso,30,mean,1588,81,0.06935818100004099
football,TE,era_ensemble,elasticnet,30,mean,1588,81,0.053404470999964815
football,TE,era_ensemble,random_forest,30,mean,1588,81,1.6132935649999922
football,TE,era_ensemble,lightgbm,30,mean,1588,81,0.561508783000022
football,TE,era_ensemble,xgboost,30,mean,1588,81,1.0073096570000644
football,TE,era_ensemble,ridge,30,recency_weighted,1588,81,0.044036995999931605
football,TE,era_ensemble,lasso,30,recency_weighted,1588,81,0.07349534900004073
football,TE,era_ensemble,elasticnet,30,recency_weighted,1588,81,0.05740151700001661
football,TE,era_ensemble,random_forest,30,recency_weighted,1588,81,1.5813816350000707
football,TE,era_ensemble,lightgbm,30,recency_weighted,1588,81,0.5247502900000427
football,TE,era_ensemble,xgboost,30,recency_weighted,1588,81,1.0728453110000373
