model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,4,10,0.7298878068636828,0.07605316539719537,0.5833333333333334,1.8405016390047275
elasticnet,mean,4,20,0.7383128273682694,0.07662642618934479,0.6166666666666667,1.834352302598332
elasticnet,mean,4,30,0.7383128273682694,0.07662642618934479,0.6166666666666667,1.834352302598332
elasticnet,mean,5,10,0.7284000454907787,0.08734802476971931,0.5833333333333334,1.8634430757767024
elasticnet,mean,5,20,0.737144354570986,0.0832170018434251,0.6166666666666667,1.8648453997618168
elasticnet,mean,5,30,0.737144354570986,0.0832170018434251,0.6166666666666667,1.8648453997618168
elasticnet,mean,6,10,0.7258458816129718,0.06749268793839236,0.5833333333333334,1.864608189879979
elasticnet,mean,6,20,0.7325318774679571,0.06963649748551264,0.6166666666666667,1.8533984940428412
elasticnet,mean,6,30,0.7325318774679571,0.06963649748551264,0.6166666666666667,1.8533984940428412
elasticnet,mean,8,10,0.7267221251724902,0.07703387564429791,0.5833333333333334,1.8966459514478582
elasticnet,mean,8,20,0.7308291966164706,0.08112971437838289,0.6166666666666667,1.88293546418785
elasticnet,mean,8,30,0.7308291966164706,0.08112971437838289,0.6166666666666667,1.88293546418785
elasticnet,mean,10,10,0.7213256400542838,0.07554683905540314,0.55,1.9393041456557611
elasticnet,mean,10,20,0.7280176823964359,0.08053146373487736,0.5666666666666667,1.9135461962842464
elasticnet,mean,10,30,0.7280176823964359,0.08053146373487736,0.5666666666666667,1.9135461962842464
elasticnet,mean,12,10,0.7169655215179156,0.06486870752239396,0.55,1.9745655424949835
elasticnet,mean,12,20,0.7262485150343851,0.06770611224144592,0.55,1.942900133141625
elasticnet,mean,12,30,0.7262485150343851,0.06770611224144592,0.55,1.942900133141625
elasticnet,recency_weighted,4,10,0.7185520158825522,0.07724651530419442,0.5666666666666667,1.9024977460371317
elasticnet,recency_weighted,4,20,0.722724083358194,0.08046639756997905,0.5833333333333334,1.9059251755680904
elasticnet,recency_weighted,4,30,0.722724083358194,0.08046639756997905,0.5833333333333334,1.9059251755680904
elasticnet,recency_weighted,5,10,0.7168874499416165,0.08817855985826804,0.5666666666666667,1.9267970113684871
elasticnet,recency_weighted,5,20,0.7213055995229648,0.08964291898706156,0.5833333333333334,1.933098797505938
elasticnet,recency_weighted,5,30,0.7213055995229648,0.08964291898706156,0.5833333333333334,1.933098797505938
elasticnet,recency_weighted,6,10,0.7148694471095188,0.0673083296372928,0.5666666666666667,1.924089969713051
elasticnet,recency_weighted,6,20,0.7180947867596611,0.07143191344600136,0.5833333333333334,1.925790845868787
elasticnet,recency_weighted,6,30,0.7180947867596611,0.07143191344600136,0.5833333333333334,1.925790845868787
elasticnet,recency_weighted,8,10,0.7142781622236378,0.08109127536963295,0.5666666666666667,1.948338940020626
elasticnet,recency_weighted,8,20,0.7154569453707568,0.0869597718645504,0.5833333333333334,1.9491547604441357
elasticnet,recency_weighted,8,30,0.7154569453707568,0.0869597718645504,0.5833333333333334,1.9491547604441357
elasticnet,recency_weighted,10,10,0.7088285960048578,0.08082871199529484,0.5333333333333334,1.9858121202741235
elasticnet,recency_weighted,10,20,0.7115093721238741,0.08488850288470334,0.5333333333333334,1.9821653347688148
elasticnet,recency_weighted,10,30,0.7115093721238741,0.08488850288470334,0.5333333333333334,1.9821653347688148
elasticnet,recency_weighted,12,10,0.7040583484928842,0.07311673169084691,0.55,2.0196340319540096
elasticnet,recency_weighted,12,20,0.7063310469033609,0.08031228794232931,0.5333333333333334,2.013218571699425
elasticnet,recency_weighted,12,30,0.7063310469033609,0.08031228794232931,0.5333333333333334,2.013218571699425
elasticnet,val_weighted,4,10,0.7307701473151175,0.07573950714599272,0.5833333333333334,1.8387922526530005
elasticnet,val_weighted,4,20,0.7397478456727626,0.07571645781150604,0.6,1.829891323602866
elasticnet,val_weighted,4,30,0.7397478456727626,0.07571645781150604,0.6,1.829891323602866
elasticnet,val_weighted,5,10,0.7285731060612577,0.08688472466302521,0.5833333333333334,1.8611251667080375
elasticnet,val_weighted,5,20,0.7385550922214057,0.08201827792178573,0.6,1.8602536492488109
elasticnet,val_weighted,5,30,0.7385550922214057,0.08201827792178573,0.6,1.8602536492488109
elasticnet,val_weighted,6,10,0.7268959067669597,0.0674422471608148,0.5833333333333334,1.8635397309818302
elasticnet,val_weighted,6,20,0.7341250777432621,0.06930091762829774,0.6,1.8494567161167634
elasticnet,val_weighted,6,30,0.7341250777432621,0.06930091762829774,0.6,1.8494567161167634
elasticnet,val_weighted,8,10,0.7277503832640028,0.07635514315449048,0.5833333333333334,1.8962434021031307
elasticnet,val_weighted,8,20,0.7323507420778758,0.08064157879979354,0.6,1.879578260028031
elasticnet,val_weighted,8,30,0.7323507420778758,0.08064157879979354,0.6,1.879578260028031
elasticnet,val_weighted,10,10,0.7217147253961487,0.07522172788681687,0.55,1.9399854628746986
elasticnet,val_weighted,10,20,0.7290249178273698,0.08058438886003648,0.55,1.9110891003525672
elasticnet,val_weighted,10,30,0.7290249178273698,0.08058438886003648,0.55,1.9110891003525672
elasticnet,val_weighted,12,10,0.7176015601154087,0.06304989688868,0.55,1.9756472820626088
elasticnet,val_weighted,12,20,0.7274962808898225,0.06743281971046536,0.55,1.9410149243496129
elasticnet,val_weighted,12,30,0.7274962808898225,0.06743281971046536,0.55,1.9410149243496129
lasso,mean,4,10,0.7449692218069356,0.06276574852017806,0.5833333333333334,1.791621086923735
lasso,mean,4,20,0.7457137657286188,0.06139994696350626,0.5833333333333334,1.7958171714127247
lasso,mean,4,30,0.7457137657286188,0.06139994696350626,0.5833333333333334,1.7958171714127247
lasso,mean,5,10,0.7407268665096829,0.07385384615562263,0.5666666666666667,1.8196067867452492
lasso,mean,5,20,0.7437851818007035,0.06862473369798118,0.5666666666666667,1.8311594002878622
lasso,mean,5,30,0.7437851818007035,0.06862473369798118,0.5666666666666667,1.8311594002878622
lasso,mean,6,10,0.7396426545222766,0.05866674102388733,0.5833333333333334,1.8140983786045208
lasso,mean,6,20,0.7409684379035312,0.055363555887652856,0.5833333333333334,1.8124854310235563
lasso,mean,6,30,0.7409684379035312,0.055363555887652856,0.5833333333333334,1.8124854310235563
lasso,mean,8,10,0.7399783732773864,0.06423538075541624,0.5833333333333334,1.8498502279991385
lasso,mean,8,20,0.739155415351126,0.0639069924221114,0.5833333333333334,1.8445582891045043
lasso,mean,8,30,0.739155415351126,0.0639069924221114,0.5833333333333334,1.8445582891045043
lasso,mean,10,10,0.7336259866584169,0.06269968846170823,0.5333333333333334,1.8970955186190281
lasso,mean,10,20,0.7330333803968913,0.064182297154502,0.5333333333333334,1.8883250613791263
lasso,mean,10,30,0.7330333803968913,0.064182297154502,0.5333333333333334,1.8883250613791263
lasso,mean,12,10,0.7327484654854348,0.05407430268567821,0.5666666666666667,1.9322587219547285
lasso,mean,12,20,0.7270603604097245,0.05757219358834315,0.55,1.9180605192751112
lasso,mean,12,30,0.7270603604097245,0.05757219358834315,0.55,1.9180605192751112
lasso,recency_weighted,4,10,0.7397767626861096,0.06330207545314565,0.5833333333333334,1.826585087990993
lasso,recency_weighted,4,20,0.7388229115614525,0.06470328273169271,0.5833333333333334,1.836905889516645
lasso,recency_weighted,4,30,0.7388229115614525,0.06470328273169271,0.5833333333333334,1.836905889516645
lasso,recency_weighted,5,10,0.7353105227932483,0.07279726709070228,0.5666666666666667,1.8599992122711644
lasso,recency_weighted,5,20,0.7353863147798904,0.07112369150321891,0.5666666666666667,1.8729364774650112
lasso,recency_weighted,5,30,0.7353863147798904,0.07112369150321891,0.5666666666666667,1.8729364774650112
lasso,recency_weighted,6,10,0.7370507017271274,0.05578212682280955,0.5833333333333334,1.8443813214701414
lasso,recency_weighted,6,20,0.7357594510659389,0.057970690617368745,0.5833333333333334,1.8526673058130385
lasso,recency_weighted,6,30,0.7357594510659389,0.057970690617368745,0.5833333333333334,1.8526673058130385
lasso,recency_weighted,8,10,0.7363021489433887,0.060137734640719316,0.5833333333333334,1.8699702690226456
lasso,recency_weighted,8,20,0.7336180274732794,0.06618733395439604,0.5833333333333334,1.8765571904293643
lasso,recency_weighted,8,30,0.7336180274732794,0.06618733395439604,0.5833333333333334,1.8765571904293643
lasso,recency_weighted,10,10,0.7295482481664163,0.05479127036925946,0.5333333333333334,1.917891239111015
lasso,recency_weighted,10,20,0.7266737347919195,0.06400124024103103,0.5166666666666667,1.9238354817312946
lasso,recency_weighted,10,30,0.7266737347919195,0.06400124024103103,0.5166666666666667,1.9238354817312946
lasso,recency_weighted,12,10,0.7269432394091824,0.048195561398146784,0.5333333333333334,1.9474513391004493
lasso,recency_weighted,12,20,0.7226422546382353,0.06165546901572537,0.5166666666666667,1.9515384804456821
lasso,recency_weighted,12,30,0.7226422546382353,0.06165546901572537,0.5166666666666667,1.9515384804456821
lasso,val_weighted,4,10,0.74497968494802,0.062204516371396686,0.5833333333333334,1.7914082491741457
lasso,val_weighted,4,20,0.7461134631831909,0.06114420814924706,0.5833333333333334,1.795230883247062
lasso,val_weighted,4,30,0.7461134631831909,0.06114420814924706,0.5833333333333334,1.795230883247062
lasso,val_weighted,5,10,0.7406063635794176,0.07346019471791461,0.5666666666666667,1.8190709309607853
lasso,val_weighted,5,20,0.743993086233808,0.06933830291162164,0.5666666666666667,1.8303726810197538
lasso,val_weighted,5,30,0.743993086233808,0.06933830291162164,0.5666666666666667,1.8303726810197538
lasso,val_weighted,6,10,0.7397002760848059,0.0583006961324555,0.5833333333333334,1.8141859454118805
lasso,val_weighted,6,20,0.7414590686846076,0.055190916883046365,0.5833333333333334,1.8122055977588054
lasso,val_weighted,6,30,0.7414590686846076,0.055190916883046365,0.5833333333333334,1.8122055977588054
lasso,val_weighted,8,10,0.7402504082730329,0.0639382161823542,0.5833333333333334,1.8502884752781832
lasso,val_weighted,8,20,0.7395137067985011,0.06380277656305024,0.5833333333333334,1.8447612677759153
lasso,val_weighted,8,30,0.7395137067985011,0.06380277656305024,0.5833333333333334,1.8447612677759153
lasso,val_weighted,10,10,0.7339223045832691,0.06307457434183535,0.5333333333333334,1.897899482152512
lasso,val_weighted,10,20,0.7334130714514014,0.06359747219772015,0.5333333333333334,1.8890242641726622
lasso,val_weighted,10,30,0.7334130714514014,0.06359747219772015,0.5333333333333334,1.8890242641726622
lasso,val_weighted,12,10,0.7332799199164434,0.054581687629246915,0.5666666666666667,1.933486873395007
lasso,val_weighted,12,20,0.7282120762289334,0.05728316888862657,0.55,1.9195975925409823
lasso,val_weighted,12,30,0.7282120762289334,0.05728316888862657,0.55,1.9195975925409823
lightgbm,mean,4,10,0.735732291889945,0.07093040192831776,0.6,1.8486238823546615
lightgbm,mean,4,20,0.7379007693704686,0.07193455533940817,0.6166666666666667,1.8138772757679764
lightgbm,mean,4,30,0.7379007693704686,0.07193455533940817,0.6166666666666667,1.8138772757679764
lightgbm,mean,5,10,0.7268422972473914,0.07284956255152229,0.6,1.897304798745506
lightgbm,mean,5,20,0.7313559907964591,0.07361076657407,0.6,1.8625878127642668
lightgbm,mean,5,30,0.7313559907964591,0.07361076657407,0.6,1.8625878127642668
lightgbm,mean,6,10,0.7286258850130525,0.06696483335663539,0.6,1.8790229677370003
lightgbm,mean,6,20,0.7314624527924903,0.0657076817799904,0.6166666666666667,1.842887463241333
lightgbm,mean,6,30,0.7314624527924903,0.0657076817799904,0.6166666666666667,1.842887463241333
lightgbm,mean,8,10,0.7279706764910456,0.07208293199187145,0.6,1.9071307870004577
lightgbm,mean,8,20,0.7312638868040875,0.06718540766009122,0.6166666666666667,1.876007453890812
lightgbm,mean,8,30,0.7312638868040875,0.06718540766009122,0.6166666666666667,1.876007453890812
lightgbm,mean,10,10,0.7255658616406226,0.0675419139262776,0.55,1.9496025983162966
lightgbm,mean,10,20,0.7287488316756253,0.06784557586709879,0.5833333333333333,1.9203626603184112
lightgbm,mean,10,30,0.7287488316756253,0.06784557586709879,0.5833333333333333,1.9203626603184112
lightgbm,mean,12,10,0.7103372838891724,0.0628298682171658,0.6166666666666666,2.018525108419665
lightgbm,mean,12,20,0.7193759924440836,0.048140585425993865,0.5833333333333333,1.9839669951841326
lightgbm,mean,12,30,0.7193759924440836,0.048140585425993865,0.5833333333333333,1.9839669951841326
lightgbm,recency_weighted,4,10,0.7350009384689449,0.06921499064790668,0.5833333333333333,1.8652434811017469
lightgbm,recency_weighted,4,20,0.7365809515767988,0.06746955350180923,0.5833333333333333,1.8461781546081937
lightgbm,recency_weighted,4,30,0.7365809515767988,0.06746955350180923,0.5833333333333333,1.8461781546081937
lightgbm,recency_weighted,5,10,0.7265041957579907,0.07203924372357307,0.5833333333333333,1.9180458418404431
lightgbm,recency_weighted,5,20,0.7275505865103472,0.07050394317846882,0.5833333333333333,1.8996915489435007
lightgbm,recency_weighted,5,30,0.7275505865103472,0.07050394317846882,0.5833333333333333,1.8996915489435007
lightgbm,recency_weighted,6,10,0.7282684296603374,0.064873477004061,0.5833333333333333,1.8924367906283721
lightgbm,recency_weighted,6,20,0.7306637303332062,0.0640018277797974,0.5833333333333333,1.8719335372307184
lightgbm,recency_weighted,6,30,0.7306637303332062,0.0640018277797974,0.5833333333333333,1.8719335372307184
lightgbm,recency_weighted,8,10,0.726910748536459,0.06898385358560574,0.5833333333333333,1.918754044897407
lightgbm,recency_weighted,8,20,0.7298975716322978,0.06537620249370767,0.6,1.9012625803180097
lightgbm,recency_weighted,8,30,0.7298975716322978,0.06537620249370767,0.6,1.9012625803180097
lightgbm,recency_weighted,10,10,0.7250279097637267,0.0668076472578103,0.5833333333333333,1.9533996421544892
lightgbm,recency_weighted,10,20,0.7283651468216776,0.06545705234001953,0.5833333333333333,1.9354503269214653
lightgbm,recency_weighted,10,30,0.7283651468216776,0.06545705234001953,0.5833333333333333,1.9354503269214653
lightgbm,recency_weighted,12,10,0.7098993394747042,0.06231529429572107,0.6,2.024063793880263
lightgbm,recency_weighted,12,20,0.7168296274737406,0.052784277387858375,0.6,2.0026255377865576
lightgbm,recency_weighted,12,30,0.7168296274737406,0.052784277387858375,0.6,2.0026255377865576
lightgbm,val_weighted,4,10,0.7355747783613936,0.07101153488714129,0.6,1.848571583057614
lightgbm,val_weighted,4,20,0.7383429197562135,0.07103541473137606,0.6166666666666667,1.812630671577962
lightgbm,val_weighted,4,30,0.7383429197562135,0.07103541473137606,0.6166666666666667,1.812630671577962
lightgbm,val_weighted,5,10,0.7266464192340099,0.07304261040055264,0.6,1.8972144912759787
lightgbm,val_weighted,5,20,0.7315968645787743,0.07344834086451658,0.6,1.8610010928455019
lightgbm,val_weighted,5,30,0.7315968645787743,0.07344834086451658,0.6,1.8610010928455019
lightgbm,val_weighted,6,10,0.7284443457068921,0.06710723655060682,0.6,1.879019411749357
lightgbm,val_weighted,6,20,0.7320862880617831,0.06479024365194307,0.6166666666666667,1.8422012086252646
lightgbm,val_weighted,6,30,0.7320862880617831,0.06479024365194307,0.6166666666666667,1.8422012086252646
lightgbm,val_weighted,8,10,0.7277962968800462,0.07204788607644379,0.6,1.9071585430793534
lightgbm,val_weighted,8,20,0.7319174584047108,0.06605982529214377,0.6166666666666667,1.8758119347704008
lightgbm,val_weighted,8,30,0.7319174584047108,0.06605982529214377,0.6166666666666667,1.8758119347704008
lightgbm,val_weighted,10,10,0.7253560714308324,0.06752333786723332,0.55,1.9496273181538748
lightgbm,val_weighted,10,20,0.7295074126764222,0.0663163441999542,0.5833333333333333,1.9202133233488308
lightgbm,val_weighted,10,30,0.7295074126764222,0.0663163441999542,0.5833333333333333,1.9202133233488308
lightgbm,val_weighted,12,10,0.7103372838891724,0.0628298682171658,0.6166666666666666,2.018549187798344
lightgbm,val_weighted,12,20,0.7203852677957704,0.047071968398002685,0.5833333333333333,1.9837182606934334
lightgbm,val_weighted,12,30,0.7203852677957704,0.047071968398002685,0.5833333333333333,1.9837182606934334
random_forest,mean,4,10,0.745111653138205,0.06736577938980563,0.6,1.8107516507562464
random_forest,mean,4,20,0.7437814442364439,0.06757216601566757,0.6,1.799132457879756
random_forest,mean,4,30,0.7437814442364439,0.06757216601566757,0.6,1.799132457879756
random_forest,mean,5,10,0.740067541899489,0.05942496358720895,0.5833333333333333,1.8614062771376214
random_forest,mean,5,20,0.7373805430878984,0.0648408216122682,0.6,1.8486541187781864
random_forest,mean,5,30,0.7373805430878984,0.0648408216122682,0.6,1.848654118778186
random_forest,mean,6,10,0.7401522599756547,0.06666011474394185,0.6,1.8294162012828075
random_forest,mean,6,20,0.7397929209673387,0.06253981098598707,0.6,1.8180680953843793
random_forest,mean,6,30,0.7397929209673387,0.06253981098598707,0.6,1.8180680953843793
random_forest,mean,8,10,0.7377477153517954,0.06509428525691885,0.6,1.8496537821863845
random_forest,mean,8,20,0.7385605292929031,0.06643185964790416,0.6166666666666667,1.8434697617129256
random_forest,mean,8,30,0.7385605292929031,0.06643185964790416,0.6166666666666667,1.8434697617129256
random_forest,mean,10,10,0.7355134252109552,0.06810296904483927,0.5833333333333333,1.8742420131159427
random_forest,mean,10,20,0.738076642321827,0.07273106223669035,0.6,1.8667554549125256
random_forest,mean,10,30,0.738076642321827,0.07273106223669035,0.6,1.8667554549125256
random_forest,mean,12,10,0.7246751764133409,0.05455668206181613,0.6,1.9331718201916395
random_forest,mean,12,20,0.7309802450330773,0.05451995793703685,0.5833333333333334,1.9208515862548243
random_forest,mean,12,30,0.7309802450330773,0.05451995793703685,0.5833333333333334,1.9208515862548243
random_forest,recency_weighted,4,10,0.7424020393320012,0.06574521357765648,0.5833333333333333,1.815611878285766
random_forest,recency_weighted,4,20,0.7411805723750935,0.06703710356766222,0.5833333333333333,1.8123465685683737
random_forest,recency_weighted,4,30,0.7411805723750935,0.06703710356766222,0.5833333333333333,1.8123465685683737
random_forest,recency_weighted,5,10,0.7368156381519733,0.06251060427886122,0.5666666666666667,1.8637230330617007
random_forest,recency_weighted,5,20,0.7350588530962028,0.06416937017398233,0.5666666666666667,1.8599549199630723
random_forest,recency_weighted,5,30,0.7350588530962028,0.06416937017398233,0.5666666666666667,1.8599549199630723
random_forest,recency_weighted,6,10,0.7376043394697728,0.06320603992783837,0.5833333333333333,1.8349410382277611
