sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,TE,era_ensemble,ridge,10,val_weighted,126,18,0.657903666025959
football,TE,era_ensemble,lasso,10,val_weighted,126,18,0.008720666985027492
football,TE,era_ensemble,elasticnet,10,val_weighted,126,18,0.008350250020157546
football,TE,era_ensemble,random_forest,10,val_weighted,126,18,0.3330301670357585
football,TE,era_ensemble,lightgbm,10,val_weighted,126,18,0.23855541698867455
football,TE,era_ensemble,xgboost,10,val_weighted,126,18,0.39048050000565127
football,TE,era_ensemble,ridge,10,mean,126,18,0.0032548329909332097
football,TE,era_ensemble,lasso,10,mean,126,18,0.002681707963347435
football,TE,era_ensemble,elasticnet,10,mean,126,18,0.002593084005638957
football,TE,era_ensemble,random_forest,10,mean,126,18,0.11479837499791756
football,TE,era_ensemble,lightgbm,10,mean,126,18,0.11379733303328976
football,TE,era_ensemble,xgboost,10,mean,126,18,0.20739633403718472
football,TE,era_ensemble,ridge,10,recency_weighted,126,18,0.0027905000024475157
football,TE,era_ensemble,lasso,10,recency_weighted,126,18,0.0025196250062435865
football,TE,era_ensemble,elasticnet,10,recency_weighted,126,18,0.0025162919773720205
football,TE,era_ensemble,random_forest,10,recency_weighted,126,18,0.11620120896259323
football,TE,era_ensemble,lightgbm,10,recency_weighted,126,18,0.1360763749689795
football,TE,era_ensemble,xgboost,10,recency_weighted,126,18,0.17576220800401643
football,TE,era_ensemble,ridge,20,val_weighted,271,18,0.008966790977865458
football,TE,era_ensemble,lasso,20,val_weighted,271,18,0.008596832980401814
football,TE,era_ensemble,elasticnet,20,val_weighted,271,18,0.008913375029806048
football,TE,era_ensemble,random_forest,20,val_weighted,271,18,0.25572687498060986
football,TE,era_ensemble,lightgbm,20,val_weighted,271,18,0.32017208298202604
football,TE,era_ensemble,xgboost,20,val_weighted,271,18,0.35394499998074025
football,TE,era_ensemble,ridge,20,mean,271,18,0.0028814999968744814
football,TE,era_ensemble,lasso,20,mean,271,18,0.002597166982013732
football,TE,era_ensemble,elasticnet,20,mean,271,18,0.0026412499719299376
football,TE,era_ensemble,random_forest,20,mean,271,18,0.11461124999914318
football,TE,era_ensemble,lightgbm,20,mean,271,18,0.1604663340258412
football,TE,era_ensemble,xgboost,20,mean,271,18,0.19299695797963068
football,TE,era_ensemble,ridge,20,recency_weighted,271,18,0.0032005829853005707
football,TE,era_ensemble,lasso,20,recency_weighted,271,18,0.0027370830066502094
football,TE,era_ensemble,elasticnet,20,recency_weighted,271,18,0.0034126669634133577
football,TE,era_ensemble,random_forest,20,recency_weighted,271,18,0.11598741600755602
football,TE,era_ensemble,lightgbm,20,recency_weighted,271,18,0.16600416699657217
football,TE,era_ensemble,xgboost,20,recency_weighted,271,18,0.16449175000889227
football,TE,era_ensemble,ridge,30,val_weighted,296,18,0.015535124985035509
football,TE,era_ensemble,lasso,30,val_weighted,296,18,0.015114624984562397
football,TE,era_ensemble,elasticnet,30,val_weighted,296,18,0.01562424999428913
football,TE,era_ensemble,random_forest,30,val_weighted,296,18,0.5347169170272537
football,TE,era_ensemble,lightgbm,30,val_weighted,296,18,0.3331986659904942
football,TE,era_ensemble,xgboost,30,val_weighted,296,18,0.6524446249823086
football,TE,era_ensemble,ridge,30,mean,296,18,0.005064832977950573
football,TE,era_ensemble,lasso,30,mean,296,18,0.004569666984025389
football,TE,era_ensemble,elasticnet,30,mean,296,18,0.004671958042308688
football,TE,era_ensemble,random_forest,30,mean,296,18,0.22288558300351724
football,TE,era_ensemble,lightgbm,30,mean,296,18,0.2056309580220841
football,TE,era_ensemble,xgboost,30,mean,296,18,0.3168004580074921
football,TE,era_ensemble,ridge,30,recency_weighted,296,18,0.00504737498704344
football,TE,era_ensemble,lasso,30,recency_weighted,296,18,0.004713165981229395
football,TE,era_ensemble,elasticnet,30,recency_weighted,296,18,0.004762875032611191
football,TE,era_ensemble,random_forest,30,recency_weighted,296,18,0.21404762496240437
football,TE,era_ensemble,lightgbm,30,recency_weighted,296,18,0.17696870904183015
football,TE,era_ensemble,xgboost,30,recency_weighted,296,18,0.31682212505256757
