model,combine,cutoff_games,window_years,spearman_mean,spearman_sd,precision_at_12_mean,mae_mean
elasticnet,mean,1,10,0.4221775371535779,0.30291023419289476,0.9333333333333333,2.509300005540157
elasticnet,mean,1,20,0.5018220217786489,0.2601367863838192,0.95,2.4862588587430503
elasticnet,mean,1,30,0.5740086859029332,0.21840570221984082,0.95,2.826517058487279
elasticnet,recency_weighted,1,10,0.4221775371535779,0.30291023419289476,0.9333333333333333,2.509300005540157
elasticnet,recency_weighted,1,20,0.5018220217786489,0.2601367863838192,0.95,2.4862588587430503
elasticnet,recency_weighted,1,30,0.5280970375349215,0.2583498561617395,0.95,2.6928061233414473
elasticnet,val_weighted,1,10,0.4221775371535779,0.30291023419289476,0.9333333333333333,2.509300005540157
elasticnet,val_weighted,1,20,0.5018220217786489,0.2601367863838192,0.95,2.4862588587430503
elasticnet,val_weighted,1,30,0.5668753180779079,0.22353796159998426,0.95,2.772075144735694
lasso,mean,1,10,0.4421467291298823,0.3121964157582972,0.9333333333333333,2.5133837768239053
lasso,mean,1,20,0.5159556495111806,0.26771356488407083,0.95,2.475358100227397
lasso,mean,1,30,0.5646744906863851,0.2213488881271754,0.95,2.824730047827084
lasso,recency_weighted,1,10,0.4421467291298823,0.3121964157582972,0.9333333333333333,2.5133837768239053
lasso,recency_weighted,1,20,0.5159556495111806,0.26771356488407083,0.95,2.475358100227397
lasso,recency_weighted,1,30,0.5253885695323359,0.2547707769069561,0.95,2.690513779460061
lasso,val_weighted,1,10,0.4421467291298823,0.3121964157582972,0.9333333333333333,2.5133837768239053
lasso,val_weighted,1,20,0.5159556495111806,0.26771356488407083,0.95,2.475358100227397
lasso,val_weighted,1,30,0.5618319520649157,0.22222676430838206,0.95,2.7801124753321327
lightgbm,mean,1,10,0.3364360986631151,0.21127405351894277,0.95,2.741413434595935
lightgbm,mean,1,20,0.38681907441623054,0.31131755311925563,0.95,2.6202882633747318
lightgbm,mean,1,30,0.37334554983246265,0.2777783987197235,0.95,3.057887129931442
lightgbm,recency_weighted,1,10,0.3364360986631151,0.21127405351894277,0.95,2.741413434595935
lightgbm,recency_weighted,1,20,0.38681907441623054,0.31131755311925563,0.95,2.6202882633747318
lightgbm,recency_weighted,1,30,0.37334554983246265,0.2777783987197235,0.95,2.8652210717528384
lightgbm,val_weighted,1,10,0.3364360986631151,0.21127405351894277,0.95,2.741413434595935
lightgbm,val_weighted,1,20,0.38681907441623054,0.31131755311925563,0.95,2.6202882633747318
lightgbm,val_weighted,1,30,0.37334554983246265,0.2777783987197235,0.95,3.057887129931442
random_forest,mean,1,10,0.3919926812834186,0.27155707293395875,0.95,2.5587038765464927
random_forest,mean,1,20,0.43090887892135593,0.23375339026165448,0.95,2.456126390871959
random_forest,mean,1,30,0.4478597544549867,0.23922451646897203,0.95,2.9658998331389936
random_forest,recency_weighted,1,10,0.3919926812834186,0.27155707293395875,0.95,2.5587038765464927
random_forest,recency_weighted,1,20,0.43090887892135593,0.23375339026165448,0.95,2.456126390871959
random_forest,recency_weighted,1,30,0.4421100464913221,0.2684957154575354,0.95,2.7794191887171125
random_forest,val_weighted,1,10,0.3919926812834186,0.27155707293395875,0.95,2.5587038765464927
random_forest,val_weighted,1,20,0.43090887892135593,0.23375339026165448,0.95,2.456126390871959
random_forest,val_weighted,1,30,0.4478597544549867,0.23922451646897203,0.95,2.9678167768794657
ridge,mean,1,10,0.4465981705722875,0.31890815449493537,0.9333333333333333,2.4489692952060196
ridge,mean,1,20,0.5270052531916944,0.24119204869472513,0.95,2.4694285693107636
ridge,mean,1,30,0.6043010946051828,0.1796706993292794,0.9666666666666666,2.823215278880429
ridge,recency_weighted,1,10,0.4465981705722875,0.31890815449493537,0.9333333333333333,2.4489692952060196
ridge,recency_weighted,1,20,0.5270052531916944,0.24119204869472513,0.95,2.4694285693107636
ridge,recency_weighted,1,30,0.5533900448706037,0.2449848657358437,0.9666666666666666,2.6832780918517374
ridge,val_weighted,1,10,0.4465981705722875,0.31890815449493537,0.9333333333333333,2.4489692952060196
ridge,val_weighted,1,20,0.5270052531916944,0.24119204869472513,0.95,2.4694285693107636
ridge,val_weighted,1,30,0.5767946794517089,0.22120434034373818,0.9666666666666666,2.7727483138802165
xgboost,mean,1,10,0.3891725831303755,0.16557078532336164,0.9333333333333333,2.776052447974815
xgboost,mean,1,20,0.43860237336014263,0.263469357730386,0.95,2.5332910996040323
xgboost,mean,1,30,0.5625880324024101,0.21475287939231374,0.95,2.839834203586007
xgboost,recency_weighted,1,10,0.3891725831303755,0.16557078532336164,0.9333333333333333,2.776052447974815
xgboost,recency_weighted,1,20,0.43860237336014263,0.263469357730386,0.95,2.5332910996040323
xgboost,recency_weighted,1,30,0.5254401965005371,0.2445985047791059,0.95,2.7123145040370438
xgboost,val_weighted,1,10,0.3891725831303755,0.16557078532336164,0.9333333333333333,2.776052447974815
xgboost,val_weighted,1,20,0.43860237336014263,0.263469357730386,0.95,2.5332910996040323
xgboost,val_weighted,1,30,0.5515244498860206,0.22615508369019396,0.95,2.8175949410580543
