sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,WR,era_ensemble,ridge,10,val_weighted,1509,81,0.8514229999855161
football,WR,era_ensemble,lasso,10,val_weighted,1509,81,0.10379870800534263
football,WR,era_ensemble,elasticnet,10,val_weighted,1509,81,0.09309979196405038
football,WR,era_ensemble,random_forest,10,val_weighted,1509,81,1.539684874995146
football,WR,era_ensemble,lightgbm,10,val_weighted,1509,81,2.4578970409929752
football,WR,era_ensemble,xgboost,10,val_weighted,1509,81,1.5797329159686342
football,WR,era_ensemble,ridge,10,mean,1509,81,0.02173862495692447
football,WR,era_ensemble,lasso,10,mean,1509,81,0.052290958003140986
football,WR,era_ensemble,elasticnet,10,mean,1509,81,0.05445170897291973
football,WR,era_ensemble,random_forest,10,mean,1509,81,0.8447487920057029
football,WR,era_ensemble,lightgbm,10,mean,1509,81,1.2788880000007339
football,WR,era_ensemble,xgboost,10,mean,1509,81,0.8007148330216296
football,WR,era_ensemble,ridge,10,recency_weighted,1509,81,0.018628249992616475
football,WR,era_ensemble,lasso,10,recency_weighted,1509,81,0.04950575000839308
football,WR,era_ensemble,elasticnet,10,recency_weighted,1509,81,0.05633962497813627
football,WR,era_ensemble,random_forest,10,recency_weighted,1509,81,0.7681683750124648
football,WR,era_ensemble,lightgbm,10,recency_weighted,1509,81,1.3170505419839174
football,WR,era_ensemble,xgboost,10,recency_weighted,1509,81,0.7572862499509938
football,WR,era_ensemble,ridge,20,val_weighted,2792,81,0.04833975003566593
football,WR,era_ensemble,lasso,20,val_weighted,2792,81,0.16695549996802583
football,WR,era_ensemble,elasticnet,20,val_weighted,2792,81,0.11507329199230298
football,WR,era_ensemble,random_forest,20,val_weighted,2792,81,2.7099806659971364
football,WR,era_ensemble,lightgbm,20,val_weighted,2792,81,3.3429814580013044
football,WR,era_ensemble,xgboost,20,val_weighted,2792,81,1.3440882500144653
football,WR,era_ensemble,ridge,20,mean,2792,81,0.02336108300369233
football,WR,era_ensemble,lasso,20,mean,2792,81,0.0737627079943195
football,WR,era_ensemble,elasticnet,20,mean,2792,81,0.05413975002011284
football,WR,era_ensemble,random_forest,20,mean,2792,81,1.5000293340417556
football,WR,era_ensemble,lightgbm,20,mean,2792,81,1.7899582090321928
football,WR,era_ensemble,xgboost,20,mean,2792,81,0.7768481249804609
football,WR,era_ensemble,ridge,20,recency_weighted,2792,81,0.022588916996028274
football,WR,era_ensemble,lasso,20,recency_weighted,2792,81,0.08345316600752994
football,WR,era_ensemble,elasticnet,20,recency_weighted,2792,81,0.0691907920408994
football,WR,era_ensemble,random_forest,20,recency_weighted,2792,81,1.396158916002605
football,WR,era_ensemble,lightgbm,20,recency_weighted,2792,81,1.653696957975626
football,WR,era_ensemble,xgboost,20,recency_weighted,2792,81,0.80663112498587
football,WR,era_ensemble,ridge,30,val_weighted,2792,81,0.04869399999734014
football,WR,era_ensemble,lasso,30,val_weighted,2792,81,0.1672822919790633
football,WR,era_ensemble,elasticnet,30,val_weighted,2792,81,0.12053325003944337
football,WR,era_ensemble,random_forest,30,val_weighted,2792,81,2.7614785830373876
football,WR,era_ensemble,lightgbm,30,val_weighted,2792,81,3.1252788330311887
football,WR,era_ensemble,xgboost,30,val_weighted,2792,81,1.3321509590023197
football,WR,era_ensemble,ridge,30,mean,2792,81,0.022004749975167215
football,WR,era_ensemble,lasso,30,mean,2792,81,0.08229674998437986
football,WR,era_ensemble,elasticnet,30,mean,2792,81,0.06709966697962955
football,WR,era_ensemble,random_forest,30,mean,2792,81,1.414996000006795
football,WR,era_ensemble,lightgbm,30,mean,2792,81,2.5498032909817994
football,WR,era_ensemble,xgboost,30,mean,2792,81,1.1057254580082372
football,WR,era_ensemble,ridge,30,recency_weighted,2792,81,0.02490762498928234
football,WR,era_ensemble,lasso,30,recency_weighted,2792,81,0.0840613329783082
football,WR,era_ensemble,elasticnet,30,recency_weighted,2792,81,0.06586070801131427
football,WR,era_ensemble,random_forest,30,recency_weighted,2792,81,1.5868969589937478
football,WR,era_ensemble,lightgbm,30,recency_weighted,2792,81,1.7950706250267103
football,WR,era_ensemble,xgboost,30,recency_weighted,2792,81,0.8373512080288492
