sport,position,model_type,model,window_years,combine,n_train_rows,n_features,fit_seconds
football,WR,era_ensemble,ridge,10,val_weighted,280,18,0.8295993329957128
football,WR,era_ensemble,lasso,10,val_weighted,280,18,0.00930320902261883
football,WR,era_ensemble,elasticnet,10,val_weighted,280,18,0.008393500000238419
football,WR,era_ensemble,random_forest,10,val_weighted,280,18,0.33484450000105426
football,WR,era_ensemble,lightgbm,10,val_weighted,280,18,0.39373504096874967
football,WR,era_ensemble,xgboost,10,val_weighted,280,18,0.38053787499666214
football,WR,era_ensemble,ridge,10,mean,280,18,0.0028958750190213323
football,WR,era_ensemble,lasso,10,mean,280,18,0.0026266250060871243
football,WR,era_ensemble,elasticnet,10,mean,280,18,0.0026145409792661667
football,WR,era_ensemble,random_forest,10,mean,280,18,0.11730679200263694
football,WR,era_ensemble,lightgbm,10,mean,280,18,0.1705331249977462
football,WR,era_ensemble,xgboost,10,mean,280,18,0.16286250000121072
football,WR,era_ensemble,ridge,10,recency_weighted,280,18,0.0026367499958723783
football,WR,era_ensemble,lasso,10,recency_weighted,280,18,0.0025970840360969305
football,WR,era_ensemble,elasticnet,10,recency_weighted,280,18,0.002665375010110438
football,WR,era_ensemble,random_forest,10,recency_weighted,280,18,0.11426570895127952
football,WR,era_ensemble,lightgbm,10,recency_weighted,280,18,0.175294499960728
football,WR,era_ensemble,xgboost,10,recency_weighted,280,18,0.33240458299405873
football,WR,era_ensemble,ridge,20,val_weighted,574,18,0.009543207997921854
football,WR,era_ensemble,lasso,20,val_weighted,574,18,0.010388625029008836
football,WR,era_ensemble,elasticnet,20,val_weighted,574,18,0.010511749947909266
football,WR,era_ensemble,random_forest,20,val_weighted,574,18,0.3091377910459414
football,WR,era_ensemble,lightgbm,20,val_weighted,574,18,0.6190620409906842
football,WR,era_ensemble,xgboost,20,val_weighted,574,18,0.3463777090073563
football,WR,era_ensemble,ridge,20,mean,574,18,0.003076584020163864
football,WR,era_ensemble,lasso,20,mean,574,18,0.004535707994364202
football,WR,era_ensemble,elasticnet,20,mean,574,18,0.004067417001351714
football,WR,era_ensemble,random_forest,20,mean,574,18,0.13566791696939617
football,WR,era_ensemble,lightgbm,20,mean,574,18,0.3251381249865517
football,WR,era_ensemble,xgboost,20,mean,574,18,0.16994900000281632
football,WR,era_ensemble,ridge,20,recency_weighted,574,18,0.003399916982743889
football,WR,era_ensemble,lasso,20,recency_weighted,574,18,0.004628083028364927
football,WR,era_ensemble,elasticnet,20,recency_weighted,574,18,0.004235000000335276
football,WR,era_ensemble,random_forest,20,recency_weighted,574,18,0.14057470799889416
football,WR,era_ensemble,lightgbm,20,recency_weighted,574,18,0.3326700420002453
football,WR,era_ensemble,xgboost,20,recency_weighted,574,18,0.16998975002206862
football,WR,era_ensemble,ridge,30,val_weighted,627,18,0.016693832993041724
football,WR,era_ensemble,lasso,30,val_weighted,627,18,0.019131667038891464
football,WR,era_ensemble,elasticnet,30,val_weighted,627,18,0.017194458981975913
football,WR,era_ensemble,random_forest,30,val_weighted,627,18,0.5787064169999212
football,WR,era_ensemble,lightgbm,30,val_weighted,627,18,0.6663512089871801
football,WR,era_ensemble,xgboost,30,val_weighted,627,18,0.6550216249888763
football,WR,era_ensemble,ridge,30,mean,627,18,0.005249707959592342
football,WR,era_ensemble,lasso,30,mean,627,18,0.008795791945885867
football,WR,era_ensemble,elasticnet,30,mean,627,18,0.0056599159725010395
football,WR,era_ensemble,random_forest,30,mean,627,18,0.2507227499736473
football,WR,era_ensemble,lightgbm,30,mean,627,18,0.3704271250171587
football,WR,era_ensemble,xgboost,30,mean,627,18,0.33074999996460974
football,WR,era_ensemble,ridge,30,recency_weighted,627,18,0.00548141699982807
football,WR,era_ensemble,lasso,30,recency_weighted,627,18,0.008952040981967002
football,WR,era_ensemble,elasticnet,30,recency_weighted,627,18,0.0062622089753858745
football,WR,era_ensemble,random_forest,30,recency_weighted,627,18,0.2530317080090754
football,WR,era_ensemble,lightgbm,30,recency_weighted,627,18,0.361622583004646
football,WR,era_ensemble,xgboost,30,recency_weighted,627,18,0.3172081669908948
